subject,sid,n_fa,support,theta_unmatched,theta_matched,fa_rate_behav
BG_031,02042025,272,14,76.48312463219905,75.66899005282409,0.47368421052631576
BG_031,00070325,405,6,85.30071039711491,84.66028615188256,0.6561479869423286
BG_031,08042025,633,14,73.033633155006,73.21205942981626,0.8579654510556622
BG_031,09042025,504,12,82.78956327625139,83.15677251400331,0.7388235294117647
BG_031,09052025,384,19,75.08770877607692,74.29453954864384,0.7673667205169629
BG_031,00100325,343,6,77.32946659821432,77.46338686059839,0.5532163742690058
BG_031,00110325,213,5,76.44488209998462,76.20775198861296,0.4158125915080527
BG_031,00120325,362,19,68.25651771287278,67.95841560870808,0.6836861768368617
BG_031,12052025,259,11,72.28672320870929,72.39351328372533,0.6
BG_031,00130325,99,5,87.31613649138036,87.37070917425692,0.18601398601398603
BG_031,00140325,278,5,82.19729874066402,82.76733886775044,0.467828418230563
BG_031,14042025,340,25,74.66516074856992,75.00625748671949,0.6691842900302115
BG_031,16042025,175,5,87.29520314649973,85.97837261885884,0.3464052287581699
BG_031,16052025,219,10,71.16891750738834,70.69044597570952,0.5782178217821782
BG_031,00170325,293,9,88.23946783679959,89.29965678071241,0.4631336405529954
BG_031,00180325,274,13,72.64569209452426,71.89193258234499,0.5082802547770701
BG_031,00190325,324,10,64.39085429401499,64.44668141437703,0.5773672055427251
BG_031,19052025,98,7,88.00997197998416,87.69701058086048,0.48775510204081635
BG_031,19052025,98,7,88.00997197998416,87.69701058086048,0.48775510204081635
BG_031,00200325,334,16,81.73148637728454,82.4868617720217,0.5397590361445783
BG_031,00210325,320,18,78.23291322351419,78.86026903123329,0.5392405063291139
BG_031,22052025,199,5,72.29896368687261,72.2215776945051,0.5126050420168067
BG_031,00240325,316,13,66.5547807250934,66.03670069189432,0.5268361581920904
BG_031,00250325,358,11,66.29885208284087,66.2231603093607,0.5665829145728644
BG_031,25042025,95,6,87.89480743294894,87.68724894540341,0.25595238095238093
BG_031,00260325,285,19,55.13808533865969,54.84987418571337,0.5161290322580645
BG_031,00270325,273,15,60.973633616370655,61.55174745794761,0.6544789762340036
BG_039,01052025,84,5,76.5842044533614,76.33483094462865,0.27312775330396477
BG_039,06052025,160,4,64.77030030603626,67.01113643927297,0.656084656084656
BG_039,08052025,107,4,75.28362358672993,75.06937358169586,0.3002309468822171
BG_039,16042025,97,4,75.11898849232719,74.92562020313358,0.23407917383820998
BG_039,16052025,115,9,61.71476625311454,61.088436549003845,0.30994152046783624
BG_046,01092025,116,4,78.28148377559553,78.40945882443667,0.39195979899497485
BG_046,02072025,226,4,89.89941916535491,89.64813792508897,0.6431095406360424
BG_046,02092025,79,4,87.0545516332575,87.07675157645632,0.30662983425414364
BG_046,03072025,151,4,88.38544559863747,88.40075579984742,0.3911290322580645
BG_046,03092025,80,6,86.32082480541116,86.03644375341109,0.3263473053892216
BG_046,04072025,128,8,88.81529974574369,89.06843795409236,0.4131578947368421
BG_046,08092025,187,7,86.05047935208873,85.91296300361367,0.47889908256880737
BG_046,09092025,111,5,85.19086857953499,85.45494459324236,0.3304904051172708
BG_046,10092025,91,5,82.79591280461501,82.46827803097037,0.249500998003992
BG_046,11092025,112,3,83.49478522583426,82.85552508801368,0.3399122807017544
BG_046,14082025,302,4,80.27501968431112,80.08546123581476,0.6730123180291153
BG_046,15082025,219,14,86.68870875181703,86.10866322932915,0.5651376146788991
BG_046,15092025,164,11,71.08368892730539,70.99602097014136,0.44874274661508706
BG_046,16092025,127,11,78.37705326541052,78.98626737778197,0.42159383033419023
BG_046,17092025,207,17,60.74097615806176,60.737218355188425,0.4558058925476603
BG_046,18082025,204,7,87.88494438718001,87.34324057282785,0.6858407079646017
BG_046,19082025,138,7,89.46567239232692,89.30985445158892,0.428246013667426
BG_046,20082025,96,3,89.32124479513391,88.75161046984762,0.41847826086956524
BG_046,21072025,148,3,82.96922049004476,82.69472501795192,0.6253521126760564
BG_046,25072025,86,3,83.84159037188083,83.89174555632975,0.29411764705882354
BG_046,27082025,129,5,84.11077235772234,84.57400847329275,0.4975728155339806
BG_046,28082025,196,5,83.7909863630919,83.22307511559522,0.6465324384787472
BG_046,29082025,174,8,67.27313570034839,67.77251184455753,0.5418502202643172
