subject,sid,support,theta,fa_rate_behav
BG_031,02042025,14,81.04491757459438,0.47368421052631576
BG_031,00070325,6,86.1001321535809,0.6561479869423286
BG_031,08042025,14,83.11900038893111,0.8579654510556622
BG_031,09042025,12,85.95668131452513,0.7388235294117647
BG_031,09052025,19,79.64874931112882,0.7673667205169629
BG_031,00100325,6,81.08679133475512,0.5532163742690058
BG_031,00110325,5,80.0187605196787,0.4158125915080527
BG_031,00120325,19,82.35036117371193,0.6836861768368617
BG_031,12052025,11,81.79438470023024,0.6
BG_031,00130325,5,86.55653890964449,0.18601398601398603
BG_031,00140325,5,83.83935725514057,0.467828418230563
BG_031,14042025,25,85.11781806253694,0.6691842900302115
BG_031,16042025,5,85.91347165654025,0.3464052287581699
BG_031,16052025,10,82.76305288609507,0.5782178217821782
BG_031,00170325,9,85.58280443237732,0.4631336405529954
BG_031,00180325,13,82.85611832415697,0.5082802547770701
BG_031,00190325,10,79.08895979689456,0.5773672055427251
BG_031,19052025,7,87.79221986904112,0.48775510204081635
BG_031,19052025,7,87.79221986904112,0.48775510204081635
BG_031,00200325,16,85.56818923253401,0.5397590361445783
BG_031,00210325,18,84.1345169960981,0.5392405063291139
BG_031,22052025,5,76.15198258711777,0.5126050420168067
BG_031,00240325,13,79.55674525570299,0.5268361581920904
BG_031,00250325,11,79.8385354919292,0.5665829145728644
BG_031,25042025,6,87.44989719182124,0.25595238095238093
BG_031,00260325,19,77.7486575077863,0.5161290322580645
BG_031,00270325,15,79.9100077867848,0.6544789762340036
BG_039,01052025,5,77.5062906384204,0.27312775330396477
BG_039,06052025,4,68.39619056511387,0.656084656084656
BG_039,08052025,4,75.78809033488577,0.3002309468822171
BG_039,16042025,4,75.41822067494242,0.23407917383820998
BG_039,16052025,9,69.7933001034214,0.30994152046783624
BG_046,01092025,4,79.61816341904445,0.39195979899497485
BG_046,02072025,4,87.29416213403121,0.6431095406360424
BG_046,02092025,4,86.9660893791285,0.30662983425414364
BG_046,03072025,4,88.50320529821947,0.3911290322580645
BG_046,03092025,6,86.73637731468163,0.3263473053892216
BG_046,04072025,8,88.56473946857953,0.4131578947368421
BG_046,08092025,7,86.69961133502419,0.47889908256880737
BG_046,09092025,5,85.47088769545428,0.3304904051172708
BG_046,10092025,5,83.84214821113972,0.249500998003992
BG_046,14082025,4,81.79873669897249,0.6730123180291153
BG_046,15082025,14,81.74617236003124,0.5651376146788991
BG_046,15092025,11,80.44216918339048,0.44874274661508706
BG_046,16092025,11,83.50233808284187,0.42159383033419023
BG_046,17092025,17,77.59458420299515,0.4558058925476603
BG_046,18082025,7,87.44466829739521,0.6858407079646017
BG_046,19082025,7,88.63477358615751,0.428246013667426
BG_046,27082025,5,83.53999708569668,0.4975728155339806
BG_046,28082025,5,84.54169317690122,0.6465324384787472
BG_046,29082025,8,76.88203428839277,0.5418502202643172
