panel,region,row_id,decile_median_width,onset_s,n_units
f,DMS,0,0.2010745267190728,-1.0875000000000032,20
f,DMS,1,0.06215749765131715,-0.4875000000000054,20
f,DMS,2,0.0823177398555349,-0.41250000000000564,19
f,DMS,3,0.2872851292621425,-0.41250000000000564,21
f,DMS,4,0.09802107783498609,-0.38750000000000573,20
f,DMS,5,0.1079399757793252,-0.3625000000000058,21
f,DMS,6,0.1260647598331833,-0.3375000000000059,19
f,DMS,7,0.15824002348969415,-0.3375000000000059,20
f,DMS,8,0.0711632714243062,-0.18750000000000644,21
f,DMS,9,0.054545066581146856,-0.13750000000000662,20
g,DMS,0,,-1.9875,1
g,DMS,1,,-1.9875,1
g,DMS,2,,-1.9875,1
g,DMS,3,,-1.9875,1
g,DMS,4,,-1.9875,1
g,DMS,5,,-1.9875,1
g,DMS,6,,-1.9875,1
g,DMS,7,,-1.9875,1
g,DMS,8,,-1.9875,1
g,DMS,9,,-1.9875,1
g,DMS,10,,-1.9875,1
g,DMS,11,,-1.9875,1
g,DMS,12,,-1.9875,1
g,DMS,13,,-1.9875,1
g,DMS,14,,-1.9875,1
g,DMS,15,,-1.9875,1
g,DMS,16,,-1.9875,1
g,DMS,17,,-1.9875,1
g,DMS,18,,-1.9875,1
g,DMS,19,,-1.9875,1
g,DMS,20,,-1.9875,1
g,DMS,21,,-1.9875,1
g,DMS,22,,-1.9875,1
g,DMS,23,,-1.9875,1
g,DMS,24,,-1.9875,1
g,DMS,25,,-1.9875,1
g,DMS,26,,-1.9875,1
g,DMS,27,,-1.9875,1
g,DMS,28,,-1.9875,1
g,DMS,29,,-1.9875,1
g,DMS,30,,-1.9875,1
g,DMS,31,,-1.9875,1
g,DMS,32,,-1.9875,1
g,DMS,33,,-1.9875,1
g,DMS,34,,-1.9875,1
g,DMS,35,,-1.9875,1
g,DMS,36,,-1.9875,1
g,DMS,37,,-1.9875,1
g,DMS,38,,-1.9875,1
g,DMS,39,,-1.9875,1
g,DMS,40,,-1.9875,1
g,DMS,41,,-1.9875,1
g,DMS,42,,-1.9875,1
g,DMS,43,,-1.9875,1
g,DMS,44,,-1.9875,1
g,DMS,45,,-1.9875,1
g,DMS,46,,-1.9875,1
