panel,region,row_id,decile_median_width,onset_s,n_units,decile_median_nspikes
f,VMS,0,0.05660039347026275,-0.9625000000000037,32,
f,VMS,1,0.06891531145270441,-0.5375000000000052,32,
f,VMS,2,0.07611171883092771,-0.41250000000000564,32,
f,VMS,3,0.08498073296226855,-0.7125000000000046,32,
f,VMS,4,0.1006848261671786,-0.16250000000000653,31,
f,VMS,5,0.11793713354732235,-0.6125000000000049,32,
f,VMS,6,0.14925116904072638,-0.6375000000000048,32,
f,VMS,7,0.1776818238916546,-0.3375000000000059,32,
f,VMS,8,0.2161242923570009,-0.38750000000000573,32,
f,VMS,9,0.28259759231023995,-0.7625000000000044,32,
g,VMS,0,,,494,7279.5
g,VMS,1,,-0.012500000000007061,494,16978.5
g,VMS,2,,-0.16250000000000653,493,32358.0
g,VMS,3,,-0.18750000000000644,494,51903.5
g,VMS,4,,-0.2625000000000062,493,74669.0
g,VMS,5,,-0.3375000000000059,494,110866.0
g,VMS,6,,-0.2625000000000062,494,141158.0
g,VMS,7,,-0.21250000000000635,493,172581.0
g,VMS,8,,-0.3375000000000059,494,213190.0
g,VMS,9,,-0.43750000000000555,494,291958.0
