panel,region,row_id,decile_median_width,onset_s,n_units,decile_median_nspikes
f,VMS,0,0.05660039347026275,-0.46250000000000546,32,
f,VMS,1,0.06891531145270441,-0.7875000000000043,32,
f,VMS,2,0.07611171883092771,-0.587500000000005,32,
f,VMS,3,0.08498073296226855,-0.7375000000000045,32,
f,VMS,4,0.1006848261671786,-0.6625000000000048,31,
f,VMS,5,0.11793713354732235,-0.46250000000000546,32,
f,VMS,6,0.14925116904072638,-0.43750000000000555,32,
f,VMS,7,0.1776818238916546,-0.5625000000000051,32,
f,VMS,8,0.2161242923570009,-0.9125000000000039,32,
f,VMS,9,0.28259759231023995,-0.862500000000004,32,
g,VMS,0,,0.03749999999999276,494,7279.5
g,VMS,1,,-0.0875000000000068,494,16978.5
g,VMS,2,,-0.23750000000000626,493,32358.0
g,VMS,3,,-0.2625000000000062,494,51903.5
g,VMS,4,,-0.23750000000000626,493,74669.0
g,VMS,5,,-0.46250000000000546,494,110866.0
g,VMS,6,,-0.41250000000000564,494,141158.0
g,VMS,7,,-0.38750000000000573,493,172581.0
g,VMS,8,,-0.43750000000000555,494,213190.0
g,VMS,9,,-0.46250000000000546,494,291958.0
