region,group,lick,n_units,onset_s,peak_frac,t_peak
pooled,transient,hit,315,-0.6125000000000049,0.6444444444444444,0.08749999999999258
pooled,transient,fa,315,-0.43750000000000555,0.5436507936507936,0.08749999999999258
DMS,transient,hit,132,-0.5625000000000051,0.7206439393939394,0.46249999999999125
DMS,transient,fa,132,-0.41250000000000564,0.6553030303030303,0.48749999999999116
VMS,transient,hit,183,-0.7125000000000046,0.6058743169398907,0.08749999999999258
VMS,transient,fa,183,-0.4875000000000054,0.5122950819672131,0.23749999999999205
pooled,sustained,hit,99,-0.7375000000000045,0.8762626262626263,0.01249999999999285
pooled,sustained,fa,99,-0.6875000000000047,0.7954545454545454,-0.012500000000007061
DMS,sustained,hit,30,-0.6875000000000047,0.9833333333333333,0.01249999999999285
DMS,sustained,fa,30,-0.6625000000000048,0.8916666666666667,-0.012500000000007061
VMS,sustained,hit,69,-0.887500000000004,0.8297101449275363,-0.012500000000007061
VMS,sustained,fa,69,-0.7625000000000044,0.7681159420289856,0.03749999999999276
pooled,non-TF,hit,11078,-0.3375000000000059,0.5018617981585123,0.1374999999999924
pooled,non-TF,fa,11078,-0.2625000000000062,0.41629806824336524,0.08749999999999258
DMS,non-TF,hit,6141,-0.3625000000000058,0.5445774303859306,0.2874999999999919
DMS,non-TF,fa,6141,-0.2875000000000061,0.46173261683764866,0.08749999999999258
VMS,non-TF,hit,4937,-0.3375000000000059,0.45136216325703865,0.1374999999999924
VMS,non-TF,fa,4937,-0.21250000000000635,0.366264938221592,0.1124999999999925
