region,group,n,perm_onset_s,perm_peak
pooled,transient,315,-0.41249999999999987,0.6015873015873016
pooled,sustained,99,-0.5625,0.827020202020202
pooled,non-TF,2000,-0.2124999999999999,0.47093749999999995
pooled,onset~width_spearman,469,-0.1710843225994338,
DMS,transient,132,-0.3374999999999999,0.649621212121212
DMS,sustained,30,-0.6375,0.9
DMS,non-TF,1112,-0.26249999999999996,0.5016861510791366
DMS,onset~width_spearman,184,-0.41283859037981296,
VMS,transient,183,-0.48750000000000004,0.5833333333333334
VMS,sustained,69,-0.48750000000000004,0.7952898550724639
VMS,non-TF,888,-0.1875,0.4324324324324324
VMS,onset~width_spearman,285,-0.00942735917768669,
