panel,region,row_id,decile_median_width,onset_s,n_units,decile_median_nspikes
f,pooled,0,0.05544398267627835,-0.2625000000000062,52,
f,pooled,1,0.06634243897647904,-0.4875000000000054,52,
f,pooled,2,0.07331317557773215,-0.5625000000000051,52,
f,pooled,3,0.08430988725767424,-0.3375000000000059,52,
f,pooled,4,0.09867892607685524,-0.41250000000000564,52,
f,pooled,5,0.1133271503825542,-0.38750000000000573,52,
f,pooled,6,0.1386576129169454,-0.4875000000000054,52,
f,pooled,7,0.17087558983472945,-0.43750000000000555,52,
f,pooled,8,0.20931139628800915,-0.46250000000000546,52,
f,pooled,9,0.28570271396155345,-0.8375000000000041,52,
g,pooled,0,,-0.06250000000000688,1108,5959.5
g,pooled,1,,-0.13750000000000662,1108,13390.0
g,pooled,2,,-0.18750000000000644,1108,25254.5
g,pooled,3,,-0.23750000000000626,1107,40787.0
g,pooled,4,,-0.23750000000000626,1108,62112.5
g,pooled,5,,-0.312500000000006,1108,89596.5
g,pooled,6,,-0.312500000000006,1107,120927.0
g,pooled,7,,-0.3375000000000059,1108,150884.5
g,pooled,8,,-0.3375000000000059,1108,192371.5
g,pooled,9,,-0.38750000000000573,1108,272583.5
