panel,region,row_id,decile_median_width,onset_s,n_units,decile_median_nspikes
f,pooled,0,0.05544398267627835,-0.312500000000006,52,
f,pooled,1,0.06634243897647904,-0.7375000000000045,52,
f,pooled,2,0.07331317557773215,-0.587500000000005,52,
f,pooled,3,0.08430988725767424,-0.6875000000000047,52,
f,pooled,4,0.09867892607685524,-0.6125000000000049,52,
f,pooled,5,0.1133271503825542,-0.5625000000000051,52,
f,pooled,6,0.1386576129169454,-0.6875000000000047,52,
f,pooled,7,0.17087558983472945,-0.5625000000000051,52,
f,pooled,8,0.20931139628800915,-0.6625000000000048,52,
f,pooled,9,0.28570271396155345,-0.8125000000000042,52,
g,pooled,0,,-0.13750000000000662,1108,5959.5
g,pooled,1,,-0.18750000000000644,1108,13390.0
g,pooled,2,,-0.23750000000000626,1108,25254.5
g,pooled,3,,-0.312500000000006,1107,40787.0
g,pooled,4,,-0.3375000000000059,1108,62112.5
g,pooled,5,,-0.38750000000000573,1108,89596.5
g,pooled,6,,-0.38750000000000573,1107,120927.0
g,pooled,7,,-0.41250000000000564,1108,150884.5
g,pooled,8,,-0.41250000000000564,1108,192371.5
g,pooled,9,,-0.46250000000000546,1108,272583.5
