n_trials,f_stimsens,f_impulsive,dwell_stimsens,dwell_impulsive,switch_rate,recovery,persistence,subject,region,sid,d_prime
623,0.23434991974317818,0.7158908507223114,6.636363636363637,22.3,0.0707395498392283,0.04269662921348315,0.8493150684931506,BG_046,DMS,01072025,1.4544320891120814
379,0.6543535620052771,0.33509234828496043,22.545454545454547,14.11111111111111,0.05555555555555555,0.07086614173228346,0.9556451612903226,BG_046,DMS,01092025,2.0109506959925745
608,0.3026315789473684,0.6973684210526315,15.333333333333334,35.333333333333336,0.03789126853377265,0.02830188679245283,0.9398907103825137,BG_046,DMS,02072025,1.311626908628756
290,0.6482758620689655,0.3448275862068966,18.8,14.285714285714286,0.06228373702422145,0.07,0.9518716577540107,BG_046,DMS,02092025,1.499057835985889
532,0.39849624060150374,0.44548872180451127,10.095238095238095,12.473684210526315,0.08286252354048965,0.0759493670886076,0.9009433962264151,BG_046,DMS,03072025,1.2651827557291009
269,0.6691449814126395,0.3048327137546468,15.0,10.25,0.08208955223880597,0.0975609756097561,0.9385474860335196,BG_046,DMS,03092025,2.4474733530684456
419,0.4510739856801909,0.4964200477326969,14.538461538461538,26.0,0.05980861244019139,0.038461538461538464,0.9312169312169312,BG_046,DMS,04072025,1.384434865573348
143,0.7692307692307693,0.23076923076923078,22.0,8.25,0.056338028169014086,0.12121212121212122,0.963302752293578,BG_046,DMS,04082025,1.2891317527506638
614,0.024429967426710098,0.0,,,0.0032626427406199023,,0.9333333333333333,BG_046,DMS,04092025,
366,0.1912568306010929,0.05737704918032787,6.363636363636363,3.5,0.07397260273972603,0.14285714285714285,0.8428571428571429,BG_046,DMS,05082025,
399,0.05263157894736842,0.0,4.2,,0.02512562814070352,,0.7619047619047619,BG_046,DMS,08072025,
539,0.49907235621521334,0.5009276437847866,16.8125,16.875,0.05762081784386617,0.05925925925925926,0.9440298507462687,BG_046,DMS,08092025,1.7504845713666852
419,0.3126491646778043,0.0,7.277777777777778,,0.0861244019138756,,0.8625954198473282,BG_046,DMS,09072025,1.1884751004349838
