session_date,cluster_id,celltype
1072025,0,SPN
1072025,12,SPN
1072025,22,FSI
1072025,23,SPN
1072025,37,FSI
1072025,39,SPN
1072025,46,SPN
1072025,51,SPN
1072025,61,SPN
1072025,67,SPN
1072025,70,SPN
1072025,78,SPN
1072025,102,SPN
1072025,115,SPN
1072025,116,FSI
1072025,137,FSI
1072025,138,FSI
1072025,140,SPN
1072025,148,FSI
1072025,154,FSI
1072025,170,SPN
1072025,177,FSI
1072025,186,SPN
1072025,187,FSI
1072025,192,FSI
1072025,196,FSI
1072025,197,FSI
1072025,199,SPN
1072025,201,FSI
1072025,208,FSI
1072025,210,FSI
1072025,214,FSI
1072025,218,FSI
1072025,224,SPN
1072025,243,SPN
1072025,247,SPN
1072025,252,SPN
1072025,261,SPN
1072025,264,FSI
1072025,276,SPN
1072025,278,FSI
1072025,288,FSI
1072025,292,FSI
1072025,313,SPN
1072025,317,SPN
1072025,325,SPN
1072025,327,FSI
1072025,329,FSI
1072025,331,SPN
1072025,334,FSI
1072025,337,FSI
1072025,338,FSI
1072025,351,FSI
1072025,354,FSI
1072025,359,FSI
1072025,369,SPN
1072025,377,FSI
1072025,378,FSI
1072025,379,SPN
1072025,381,FSI
1072025,386,FSI
1072025,391,FSI
1072025,392,FSI
1072025,395,FSI
1072025,408,FSI
1072025,409,FSI
1072025,419,FSI
1072025,449,FSI
1072025,452,FSI
1072025,459,FSI
1072025,462,FSI
1072025,463,FSI
1072025,467,FSI
1072025,469,FSI
1072025,474,FSI
1072025,481,FSI
1072025,482,FSI
1072025,483,FSI
1072025,486,FSI
1072025,488,FSI
1072025,490,FSI
1072025,492,SPN
1072025,502,SPN
1072025,505,SPN
1072025,517,SPN
1072025,522,SPN
1072025,534,SPN
1072025,540,FSI
1072025,541,SPN
1072025,542,FSI
1072025,544,FSI
1072025,545,FSI
1072025,550,FSI
1072025,551,FSI
1072025,552,FSI
1072025,553,FSI
1072025,555,FSI
1072025,577,FSI
1072025,580,FSI
1072025,584,FSI
1072025,586,FSI
1072025,593,FSI
1072025,596,FSI
1072025,598,SPN
1072025,599,FSI
1072025,604,SPN
1072025,607,FSI
1072025,609,SPN
1092025,4,FSI
1092025,8,FSI
1092025,12,FSI
1092025,17,FSI
1092025,20,FSI
1092025,21,SPN
1092025,35,FSI
1092025,44,FSI
1092025,49,SPN
1092025,50,FSI
1092025,51,FSI
1092025,54,FSI
1092025,64,FSI
1092025,67,FSI
1092025,69,FSI
1092025,72,SPN
1092025,73,FSI
1092025,78,FSI
1092025,79,FSI
1092025,82,SPN
1092025,84,FSI
1092025,88,FSI
1092025,126,FSI
1092025,133,FSI
1092025,145,FSI
1092025,165,FSI
1092025,173,FSI
1092025,188,FSI
1092025,198,SPN
1092025,199,FSI
1092025,203,SPN
1092025,206,FSI
1092025,213,FSI
1092025,216,FSI
1092025,217,FSI
1092025,221,SPN
1092025,223,FSI
1092025,225,FSI
1092025,226,FSI
1092025,230,FSI
1092025,234,FSI
1092025,246,FSI
1092025,247,FSI
1092025,248,FSI
1092025,252,FSI
1092025,253,FSI
1092025,259,FSI
1092025,262,FSI
1092025,278,FSI
1092025,280,FSI
1092025,287,FSI
1092025,288,FSI
1092025,290,FSI
1092025,291,FSI
1092025,296,FSI
1092025,299,FSI
1092025,300,FSI
1092025,301,FSI
1092025,302,FSI
1092025,304,FSI
1092025,305,FSI
1092025,306,FSI
1092025,314,SPN
1092025,315,FSI
1092025,317,FSI
1092025,324,FSI
1092025,325,FSI
1092025,326,FSI
1092025,327,FSI
1092025,330,FSI
1092025,334,FSI
1092025,336,FSI
1092025,339,FSI
1092025,342,FSI
1092025,344,FSI
1092025,345,FSI
1092025,349,FSI
1092025,350,FSI
1092025,351,FSI
1092025,353,FSI
1092025,355,FSI
1092025,359,FSI
1092025,360,FSI
1092025,362,FSI
1092025,368,FSI
1092025,371,FSI
1092025,372,FSI
1092025,379,FSI
1092025,380,FSI
1092025,387,FSI
1092025,389,FSI
1092025,390,SPN
1092025,396,FSI
1092025,397,FSI
1092025,398,FSI
1092025,404,FSI
1092025,408,FSI
1092025,409,FSI
1092025,410,FSI
1092025,412,FSI
1092025,414,FSI
1092025,415,SPN
1092025,417,FSI
1092025,430,SPN
1092025,432,SPN
1092025,436,SPN
1092025,448,FSI
1092025,449,SPN
2072025,2,SPN
2072025,5,SPN
2072025,9,SPN
2072025,15,FSI
2072025,21,SPN
2072025,31,FSI
2072025,35,SPN
2072025,39,SPN
2072025,43,SPN
2072025,51,SPN
2072025,52,FSI
2072025,56,FSI
2072025,61,SPN
2072025,63,FSI
2072025,81,SPN
2072025,90,FSI
2072025,100,SPN
2072025,107,FSI
2072025,111,SPN
2072025,115,FSI
2072025,121,FSI
2072025,125,FSI
2072025,127,SPN
2072025,128,SPN
2072025,132,FSI
2072025,134,SPN
2072025,135,FSI
2072025,136,SPN
2072025,150,SPN
2072025,151,SPN
2072025,155,FSI
2072025,161,FSI
2072025,162,SPN
2072025,163,SPN
2072025,166,SPN
2072025,174,FSI
2072025,176,FSI
2072025,179,SPN
2072025,186,FSI
2072025,189,SPN
2072025,204,SPN
2072025,207,SPN
2072025,209,FSI
2072025,210,SPN
2072025,211,SPN
2072025,212,FSI
2072025,213,SPN
2072025,221,FSI
2072025,230,SPN
2072025,232,FSI
2072025,238,FSI
2072025,239,FSI
2072025,240,FSI
2072025,242,FSI
2072025,246,FSI
2072025,248,FSI
2072025,249,FSI
2072025,256,SPN
2072025,261,FSI
2072025,262,FSI
2072025,265,SPN
2072025,266,SPN
2072025,267,SPN
2072025,269,FSI
2072025,275,SPN
2072025,276,FSI
2072025,277,FSI
2072025,278,SPN
2072025,279,FSI
2072025,281,FSI
2072025,285,FSI
2072025,286,FSI
2072025,289,FSI
2072025,297,FSI
2072025,298,SPN
2072025,299,FSI
2072025,302,FSI
2072025,310,FSI
2072025,319,FSI
2072025,330,SPN
2072025,346,FSI
2072025,347,FSI
2072025,366,FSI
2072025,385,SPN
2072025,391,FSI
2072025,396,SPN
2072025,400,FSI
2072025,406,FSI
2072025,410,FSI
2072025,413,FSI
2072025,414,FSI
2072025,418,SPN
2072025,419,SPN
2072025,424,FSI
2072025,429,FSI
