module,status,live_lines
analysis.align,hot,camera;early-lick/QC1;population-field;state-labeling;tf-glm
analysis.behavior,hot,camera;early-lick/QC1;population-field;state-labeling;tf-glm
analysis.config,hot,camera;early-lick/QC1;population-field;state-labeling;tf-glm
analysis.constants,hot,camera;early-lick/QC1;population-field;state-labeling;tf-glm
analysis.ddm,hot,early-lick/QC1
analysis.decision_latents,hot,early-lick/QC1
analysis.decision_latents_enginec,cold,
analysis.decision_latents_generative,cold,
analysis.evidence_learning_io,hot,early-lick/QC1
analysis.hmm,hot,early-lick/QC1;state-labeling
analysis.hmm_downstream,hot,early-lick/QC1;state-labeling
analysis.hmm_validation,hot,early-lick/QC1
analysis.kernel_width,hot,tf-glm
analysis.lick,hot,camera;early-lick/QC1;tf-glm
analysis.lick_channels,hot,early-lick/QC1;tf-glm
analysis.neural_latents,cold,
analysis.optotagging,hot,early-lick/QC1
analysis.population_field,hot,population-field
analysis.preparatory,hot,tf-glm
analysis.psychophysical_kernel,cold,
analysis.spectrum_stats,hot,early-lick/QC1;tf-glm
analysis.state_calibration,hot,state-labeling
analysis.state_labeling,hot,state-labeling
analysis.state_provider,cold,
analysis.state_tf_learning,cold,
analysis.su_analysis,hot,camera;early-lick/QC1;tf-glm
analysis.tagging,hot,camera
analysis.tf_glm,hot,tf-glm
analysis.tf_glm_data,hot,tf-glm
analysis.tf_labeling,cold,
analysis.tf_pulse,hot,early-lick/QC1;tf-glm
analysis.tf_selectivity,hot,tf-glm
analysis.track_curation,cold,
analysis.track_verdict,hot,camera;early-lick/QC1;state-labeling;tf-glm
analysis.tracking_qc,hot,population-field
analysis.tracking_registry,cold,
analysis.unit_selection,cold,
analysis.utils,hot,camera;population-field;state-labeling;tf-glm
analysis.waveform_celltype,cold,
anatomy.atlas,cold,
anatomy.channel_geometry,hot,population-field
anatomy.localize,cold,
anatomy.orientation,cold,
anatomy.peak_channel,cold,
anatomy.stereotaxic,cold,
anatomy.tracks,cold,
core.ingest,cold,
core.io,cold,
core.kilosort,cold,
core.qc,hot,camera;early-lick/QC1;tf-glm
core.run_alignment,hot,early-lick/QC1
core.session,hot,camera;early-lick/QC1;population-field;state-labeling;tf-glm
core.spikeglx,cold,
core.video_sync,hot,camera
integrations.bombcell_wrapper,cold,
io,cold,
session,cold,
suite.config,hot,state-labeling
suite.loader,hot,camera;early-lick/QC1;state-labeling;tf-glm
suite.plotting,hot,early-lick/QC1;state-labeling
suite.unit_table_schema,cold,
utils.progress,hot,camera;early-lick/QC1;tf-glm
utils.synthetic,cold,
viz.plotting,hot,early-lick/QC1;tf-glm
