name,defined_in,reexported_by_config,n_importers,n_retype_sites,retypes_agree,bucket
ALL_GO_CHANGE_SIZES,constants.py,True,1,0,True,canonical
BIG_CHANGE_SIZES,constants.py,True,4,0,True,canonical
CORNEAL_CAL_ANGLE_MAX_DEG,constants.py,False,1,0,True,canonical
CORNEAL_CAL_ANGLE_MIN_DEG,constants.py,False,1,0,True,canonical
CORNEAL_CAL_MASK_MAX_AREA_PX,constants.py,False,1,0,True,canonical
CORNEAL_CAL_MASK_MIN_AREA_PX,constants.py,False,1,0,True,canonical
CORNEAL_CAL_MASK_THRESHOLD_PCT,constants.py,False,1,0,True,canonical
CORNEAL_CAL_MAX_DIST_PX,constants.py,False,1,0,True,canonical
CORNEAL_CAL_N_TRANSITIONS,constants.py,False,1,0,True,canonical
CORNEAL_CAL_POST_FRAMES,constants.py,False,1,0,True,canonical
CORNEAL_CAL_PRE_FRAMES,constants.py,False,1,0,True,canonical
CORNEAL_CAL_PUPIL_EXCLUSION_FACTOR,constants.py,False,1,0,True,canonical
CORNEAL_CAL_PUPIL_MAX_AREA_PX,constants.py,False,1,0,True,canonical
CORNEAL_CAL_PUPIL_MIN_AREA_PX,constants.py,False,1,0,True,canonical
CORNEAL_CAL_PUPIL_MIN_CIRCULARITY,constants.py,False,1,0,True,canonical
CORNEAL_CAL_SEARCH_MARGIN_PX,constants.py,False,1,0,True,canonical
DEFAULT_BIN_SIZE,constants.py,True,16,0,True,canonical
DEFAULT_MIN_FR,constants.py,True,1,0,True,canonical
DEFAULT_SIGMA_MS,constants.py,True,18,0,True,canonical
DEFAULT_Z_THRESH_TF,constants.py,True,3,0,True,canonical
EVENT_RESPONSIVENESS_WINDOWS,constants.py,True,15,0,True,canonical
EVENT_VALID_OUTCOMES,constants.py,True,5,0,True,canonical
FA_RT_SPLIT,constants.py,True,10,0,True,canonical
LICK_HARDWARE_DELAY_MS,constants.py,False,4,0,True,canonical
LOHSE_EVIDENCE_THRESH,constants.py,False,0,0,True,canonical
LOHSE_PULSE_SIGMA_MS,constants.py,False,0,0,True,canonical
LOHSE_SENSORY_CD_WINDOW,constants.py,False,2,0,True,canonical
LOHSE_TRIAL_NORM_BASELINE,constants.py,False,0,0,True,canonical
LOHSE_TRIAL_SIGMA_MS,constants.py,False,0,0,True,canonical
MOTION_ENERGY_DOWNSAMPLE,constants.py,False,0,0,True,canonical
MOTION_ENERGY_MOUTH_ROI,constants.py,False,0,0,True,canonical
PUPIL_BLINK_MAX_GAP_MS,constants.py,False,0,0,True,canonical
PUPIL_BLUR_KERNEL,constants.py,False,0,0,True,canonical
PUPIL_EYE_ROI,constants.py,False,0,0,True,canonical
PUPIL_MAX_AREA,constants.py,False,0,0,True,canonical
PUPIL_MIN_AREA,constants.py,False,0,0,True,canonical
PUPIL_MIN_ROUNDNESS,constants.py,False,0,0,True,canonical
PUPIL_THRESH_BLOCK_SIZE,constants.py,False,0,0,True,canonical
SMALL_CHANGE_SIZES,constants.py,True,3,0,True,canonical
STATE_CONFIDENCE_THRESHOLD,constants.py,False,3,0,True,canonical
STATE_EASY_CHANGE_THRESH,constants.py,False,1,0,True,canonical
STATE_FEATURE_COLS,constants.py,False,4,0,True,canonical
STATE_LABELS,constants.py,False,5,0,True,canonical
STATE_LABEL_W_DEFAULT,constants.py,False,0,0,True,canonical
STATE_LABEL_W_GRID,constants.py,False,1,0,True,canonical
TF_DETREND_BASELINE,constants.py,False,0,0,True,canonical
TF_DETREND_POST_WINDOW,constants.py,False,0,0,True,canonical
TF_FAST_THRESH_LOG2,constants.py,True,3,0,True,canonical
TF_PULSE_POST_WINDOW,constants.py,True,4,0,True,canonical
TF_PULSE_PRE_WINDOW,constants.py,True,4,0,True,canonical
TF_PULSE_TRACE_PRE,constants.py,False,5,0,True,canonical
TF_PULSE_WINDOW,constants.py,True,2,0,True,canonical
TF_SAMPLE_PERIOD,constants.py,True,2,0,True,canonical
