name,census_bucket,task15_class,n_retype_sites
OUT,path-alias,scaffold,48
_HERE,divergent-parameter,scaffold,41
REPO_ROOT,path-alias,scaffold,30
CACHE,divergent-parameter,scaffold,26
OUT_DIR,path-alias,scaffold,24
_ROOT,path-alias,scaffold,22
CACHE_DIR,path-alias,scaffold,20
_REPO,divergent-parameter,scaffold,18
FIG_DIR,path-alias,scaffold,17
ROOT,path-alias,scaffold,15
REPO,divergent-parameter,scaffold,11
PKL_DIR,path-alias,scaffold,9
OUTCOMES,path-alias,scaffold,8
PKL,divergent-parameter,scaffold,8
TAG_DIR,path-alias,scaffold,8
_SCRIPT_DIR,path-alias,scaffold,8
OUT_CSV,path-alias,scaffold,7
OUT_COLS,path-alias,scaffold,6
FIGROOT,path-alias,scaffold,5
GROUPS,divergent-parameter,scaffold,5
OUTDIR,path-alias,scaffold,5
RAWWF,divergent-parameter,scaffold,5
UM_REG,divergent-parameter,scaffold,5
X,divergent-parameter,scaffold,5
COLUMNS,divergent-parameter,scaffold,4
CUR,divergent-parameter,scaffold,4
DANT_REG,divergent-parameter,scaffold,4
EVENTS,divergent-parameter,scaffold,4
FLAGGED,divergent-parameter,scaffold,4
NPZ,divergent-parameter,scaffold,4
RESP,divergent-parameter,scaffold,4
STAGE_COLORS,divergent-parameter,scaffold,4
STATS_CSV,divergent-parameter,scaffold,4
TRACK,divergent-parameter,scaffold,4
BASE,divergent-parameter,scaffold,3
CHANGE,divergent-parameter,scaffold,3
DEFAULT_MANIFEST,divergent-parameter,scaffold,3
DEFAULT_OUT,path-alias,scaffold,3
DEFAULT_PKL_DIR,path-alias,scaffold,3
DEFAULT_REGISTRY,divergent-parameter,scaffold,3
FIG,divergent-parameter,scaffold,3
FINAL_OUTPUT,path-alias,scaffold,3
LABELS_PATH,path-alias,scaffold,3
MEMBERS,divergent-parameter,scaffold,3
METRICS,divergent-parameter,scaffold,3
OUTCOME_COLORS,path-alias,scaffold,3
OUTPUT_ROOT,path-alias,scaffold,3
ROWS,divergent-parameter,scaffold,3
STATE_COLORS,divergent-parameter,scaffold,3
STATE_DIR,path-alias,scaffold,3
BG_COLOR,divergent-parameter,scaffold,2
CHANGE_SIZE_LABELS,divergent-parameter,scaffold,2
DISENGAGED,divergent-parameter,scaffold,2
FEATURE_NAMES,divergent-parameter,scaffold,2
FIGS_DIR,path-alias,scaffold,2
INPUT_ROOT,path-alias,scaffold,2
LABEL_COLUMNS,divergent-parameter,scaffold,2
LATENTS,divergent-parameter,scaffold,2
LICK,divergent-parameter,scaffold,2
METRIC_INFO,divergent-parameter,scaffold,2
MOODS,divergent-parameter,scaffold,2
NEW_DIR,path-alias,scaffold,2
N_SESSIONS,divergent-parameter,scaffold,2
OLD_DIR,path-alias,scaffold,2
RAW_WF_DIR,path-alias,scaffold,2
REQUIRED_TAG_COLS,divergent-parameter,scaffold,2
SESSIONS,divergent-parameter,scaffold,2
SESSION_VIDEO_MAP,divergent-parameter,scaffold,2
SIZE_GROUPS,divergent-parameter,scaffold,2
SRC,divergent-parameter,scaffold,2
STAGED_SRC,divergent-parameter,scaffold,2
STAGE_COL,divergent-parameter,scaffold,2
STAGE_COLORS_LOCAL,divergent-parameter,scaffold,2
T,divergent-parameter,scaffold,2
TF_TRACES_DIR,path-alias,scaffold,2
TITLES,divergent-parameter,scaffold,2
_CA,divergent-parameter,scaffold,2
_CA_SPEC,divergent-parameter,scaffold,2
_DATA,divergent-parameter,scaffold,2
_L,divergent-parameter,scaffold,2
_REPO_ROOT,path-alias,scaffold,2
_SCRIPT,divergent-parameter,scaffold,2
_SCRIPTS,divergent-parameter,scaffold,2
_W,divergent-parameter,scaffold,2
SUBJECT,divergent-parameter,scientific,25
STATES,divergent-parameter,scientific,21
BIN,divergent-parameter,scientific,17
PRIMARY,divergent-parameter,scientific,13
WT,divergent-parameter,scientific,11
MICE,divergent-parameter,scientific,10
REGION,divergent-parameter,scientific,9
WINDOW,divergent-parameter,scientific,9
STAGES,divergent-parameter,scientific,8
BASELINE_WIN,divergent-parameter,scientific,6
N_BOOT,divergent-parameter,scientific,5
PRE,divergent-parameter,scientific,5
RNG,divergent-parameter,scientific,5
ANIMALS,divergent-parameter,scientific,4
DT,divergent-parameter,scientific,4
EARLY_WIN,divergent-parameter,scientific,4
MIN_TRIALS,divergent-parameter,scientific,4
PSTH_BIN_MS,divergent-parameter,scientific,4
RESP_WIN,divergent-parameter,scientific,4
SENSORY_WIN,divergent-parameter,scientific,4
SUBJECTS,divergent-parameter,scientific,4
BASELINE,divergent-parameter,scientific,3
BASE_WIN,divergent-parameter,scientific,3
CHANGE_SIZES,divergent-parameter,scientific,3
LICK_WIN,divergent-parameter,scientific,3
POST,divergent-parameter,scientific,3
WIN,divergent-parameter,scientific,3
BROAD,divergent-parameter,scientific,2
CORNEAL_EYE_ROI,divergent-parameter,scientific,2
DEPTH_BIN_UM,divergent-parameter,scientific,2
EYE_REGION_CROP_BG046,divergent-parameter,scientific,2
K,divergent-parameter,scientific,2
LAT_WIN,divergent-parameter,scientific,2
NARROW,divergent-parameter,scientific,2
N_BOOT_CI,divergent-parameter,scientific,2
N_BOOT_ONSET,divergent-parameter,scientific,2
POST_WIN,divergent-parameter,scientific,2
REF,divergent-parameter,scientific,2
SIGMA,divergent-parameter,scientific,2
THRESHOLDS,divergent-parameter,scientific,2
WINDOWS,divergent-parameter,scientific,2
_FAST_FITPARAMS,divergent-parameter,scientific,2
_RECOVER_JITTER_SD,divergent-parameter,scientific,2
