file,n_rows,domains,joinable_to_manifest,rows_lost_on_join
data\BG_012_staging_manifest.csv,49,{'8digit': 49},False,0
data\BG_031_staging_manifest.csv,41,"{'8digit': 23, '6digit': 18}",False,0
data\BG_031_um_extract_manifest.csv,43,{'subject-prefixed': 43},False,0
data\BG_038_staging_manifest.csv,43,"{'8digit': 42, '6digit': 1}",False,0
data\BG_038_um_extract_manifest.csv,43,{'subject-prefixed': 43},False,0
data\BG_039_staging_manifest.csv,31,"{'8digit': 29, '6digit': 2}",False,0
data\BG_039_um_extract_manifest.csv,32,{'subject-prefixed': 32},False,0
data\BG_040_staging_manifest.csv,16,{'8digit': 16},False,0
data\BG_040_um_extract_manifest.csv,16,{'subject-prefixed': 16},False,0
data\BG_041_um_extract_manifest.csv,15,{'subject-prefixed': 15},False,0
data\BG_046_staging_manifest.csv,46,{'8digit': 46},True,0
data\BG_049_staging_manifest.csv,9,{'8digit': 9},False,0
data\BG_049_um_extract_manifest.csv,9,{'subject-prefixed': 9},False,0
data\anatomy\BG_031\BG_031_session_signatures.csv,43,"{'8digit': 24, '6digit': 18, 'subject-prefixed': 1}",False,0
data\anatomy\BG_031\unit_anatomy.csv,4426,{'8digit': 4426},True,4358
data\anatomy\BG_038\BG_038_session_signatures.csv,43,"{'8digit': 41, 'subject-prefixed': 1, '6digit': 1}",False,0
data\anatomy\BG_038\unit_anatomy.csv,5574,{'8digit': 5574},True,2729
data\anatomy\BG_039\BG_039_session_signatures.csv,32,"{'8digit': 27, 'subject-prefixed': 3, '6digit': 2}",False,0
data\anatomy\BG_039\unit_anatomy.csv,2140,{'8digit': 2140},True,2140
data\anatomy\BG_046\BG_046_session_signatures.csv,42,{'8digit': 42},True,0
data\anatomy\BG_046\unit_anatomy.csv,6539,{'8digit': 6539},True,0
data\cache\behavior\early_lick_learning.csv,34,{'8digit': 34},True,0
data\cache\behavior\early_lick_repl_BG_031.csv,31,"{'6digit': 14, '8digit': 10, '7digit-stripped': 5, 'other': 2}",False,0
data\cache\behavior\early_lick_repl_BG_039.csv,22,"{'8digit': 12, '7digit-stripped': 9, '6digit': 1}",False,0
data\cache\behavior\early_lick_repl_BG_046.csv,34,"{'8digit': 22, '7digit-stripped': 12}",True,0
data\cache\behavior\early_lick_rts.csv,7118,{'8digit': 7118},True,0
data\cache\behavior\fa_hazard_trials_BG_031.csv,24263,"{'6digit': 11957, '8digit': 6316, '7digit-stripped': 4322, 'other': 1668}",False,0
data\cache\behavior\fa_hazard_trials_BG_039.csv,12298,"{'8digit': 7092, '7digit-stripped': 4958, '6digit': 248}",False,0
data\cache\behavior\fa_hazard_trials_BG_046.csv,19552,"{'8digit': 13056, '7digit-stripped': 6496}",True,0
data\cache\dant\BG_012\dant_registry.csv,5513,{'subject-prefixed': 5513},True,5513
data\cache\dant\BG_012\dant_registry_curation.csv,4652,{'subject-prefixed': 4652},True,4652
data\cache\dant\BG_012\input\unit_lookup.csv,5513,{'subject-prefixed': 5513},True,5513
data\cache\dant\BG_031\dant_registry.csv,5221,{'subject-prefixed': 5221},True,5187
data\cache\dant\BG_031\dant_registry_curation.csv,3402,{'subject-prefixed': 3402},True,3390
data\cache\dant\BG_031\input\unit_lookup.csv,5221,{'subject-prefixed': 5221},True,5187
data\cache\dant\BG_046\dant_registry.csv,5205,{'8digit': 5205},True,0
data\cache\dant\BG_046\dant_registry_curation.csv,3575,{'8digit': 3575},True,0
data\cache\dant\BG_046\input\unit_lookup.csv,5205,{'8digit': 5205},True,0
data\cache\dant\BG_046\input_pilot\unit_lookup.csv,128,{'8digit': 128},True,0
data\cache\decision_latents\b8p2_expert_anchor_inventory.csv,45,{'8digit': 45},True,0
data\cache\decision_latents\b8p2_label_reliability.csv,45,{'8digit': 45},True,0
data\cache\decision_latents\b8_label_coverage.csv,45,{'8digit': 45},True,0
data\cache\decision_latents\behavioral_qc_cell_table.csv,115,{'8digit': 115},True,0
data\cache\decision_latents\behavioral_qc_cell_table.pre_fullrun_backup.csv,115,{'8digit': 115},True,0
data\cache\decision_latents\decision_latents_by_state.csv,16692,{'8digit': 16692},True,0
data\cache\decision_latents\decision_latents_by_state.phase1_25col_backup.csv,16692,{'8digit': 16692},True,0
data\cache\decision_latents\decision_latents_by_state_smoke.csv,16692,{'8digit': 16692},True,0
data\cache\decision_latents\decision_latents_cell_scores.csv,115,{'8digit': 115},True,0
data\cache\decision_latents\decision_latents_cell_scores.pre_fullrun_backup.csv,115,{'8digit': 115},True,0
data\cache\decision_latents\decision_latents_trialtable.csv,16692,{'8digit': 16692},True,0
data\cache\decision_latents\enginec_spotcheck.csv,3,{'8digit': 3},True,0
data\cache\decision_latents\_pre_qc_20260620\behavioral_qc_cell_table.csv,115,{'8digit': 115},True,0
data\cache\decision_latents\_pre_qc_20260620\decision_latents_by_state.csv,16692,{'8digit': 16692},True,0
data\cache\decision_latents\_pre_qc_20260620\decision_latents_cell_scores.csv,115,{'8digit': 115},True,0
data\cache\optotagging\optotagging_results.csv,8138,{'8digit': 8138},True,0
data\cache\optotagging\optotagging_results.preredesign.csv,7298,{'8digit': 7298},True,0
data\cache\optotagging\optotagging_unit_tags.csv,4069,{'8digit': 4069},True,0
data\cache\population_field\BG_046\registration.csv,42,{'8digit': 42},True,0
data\cache\qc_alignment\segmented_verification.csv,253,{'subject-prefixed': 253},True,1
data\cache\qc_alignment\unsolvable_characterization.csv,41,{'subject-prefixed': 41},True,0
data\cache\session_sorting\BG_031_presentation_queue.csv,47,"{'8digit': 28, '6digit': 19}",False,0
data\cache\session_sorting\BG_039_presentation_queue.csv,33,"{'8digit': 31, '6digit': 2}",False,0
data\cache\session_sorting\BG_046_presentation_queue.csv,52,{'8digit': 52},True,0
data\cache\session_sorting\manual_session_labels.csv,132,"{'8digit': 111, '6digit': 21}",True,0
data\cache\session_sorting\predicted_session_groups.csv,72,"{'8digit': 52, '6digit': 20}",False,0
data\cache\session_sorting\session_episode_features.csv,115,"{'8digit': 95, '6digit': 20}",True,0
data\cache\session_sorting\session_group_features.csv,44,{'8digit': 44},True,0
data\cache\state_labeling\responsiveness_all_sessions.csv,4326,{'8digit': 4326},True,0
data\cache\state_tags\BG_031\01042025.csv,853,{'8digit': 853},True,853
data\cache\state_tags\BG_031\01052025.csv,737,{'8digit': 737},True,737
data\cache\state_tags\BG_031\02042025.csv,869,{'8digit': 869},True,869
data\cache\state_tags\BG_031\03042025.csv,728,{'8digit': 728},True,728
data\cache\state_tags\BG_031\050325.csv,699,{'6digit': 699},True,699
data\cache\state_tags\BG_031\060325.csv,838,{'6digit': 838},True,838
data\cache\state_tags\BG_031\070325.csv,984,{'6digit': 984},True,984
data\cache\state_tags\BG_031\08042025.csv,1107,{'8digit': 1107},True,1107
data\cache\state_tags\BG_031\08052025.csv,711,{'8digit': 711},True,711
data\cache\state_tags\BG_031\09042025.csv,962,{'8digit': 962},True,962
data\cache\state_tags\BG_031\09052025.csv,693,{'8digit': 693},True,693
data\cache\state_tags\BG_031\100325.csv,904,{'6digit': 904},True,904
data\cache\state_tags\BG_031\10042025.csv,955,{'8digit': 955},True,955
data\cache\state_tags\BG_031\110325.csv,768,{'6digit': 768},True,768
data\cache\state_tags\BG_031\120325.csv,962,{'6digit': 962},True,962
data\cache\state_tags\BG_031\12052025.csv,636,{'8digit': 636},True,636
data\cache\state_tags\BG_031\130325.csv,769,{'6digit': 769},True,769
data\cache\state_tags\BG_031\140325.csv,847,{'6digit': 847},True,847
data\cache\state_tags\BG_031\14042025.csv,778,{'8digit': 778},True,778
data\cache\state_tags\BG_031\14052025.csv,506,{'8digit': 506},True,506
data\cache\state_tags\BG_031\15042025.csv,772,{'8digit': 772},True,772
data\cache\state_tags\BG_031\15052025.csv,425,{'8digit': 425},True,425
data\cache\state_tags\BG_031\16042025.csv,737,{'8digit': 737},True,737
data\cache\state_tags\BG_031\16052025.csv,596,{'8digit': 596},True,596
data\cache\state_tags\BG_031\170325.csv,910,{'6digit': 910},True,910
data\cache\state_tags\BG_031\180325.csv,829,{'6digit': 829},True,829
data\cache\state_tags\BG_031\190325.csv,938,{'6digit': 938},True,938
data\cache\state_tags\BG_031\19052025.csv,569,{'8digit': 569},True,569
data\cache\state_tags\BG_031\200325.csv,926,{'6digit': 926},True,926
data\cache\state_tags\BG_031\210325.csv,898,{'6digit': 898},True,898
data\cache\state_tags\BG_031\21052025.csv,529,{'8digit': 529},True,529
data\cache\state_tags\BG_031\22052025.csv,654,{'8digit': 654},True,654
data\cache\state_tags\BG_031\23042025.csv,397,{'8digit': 397},True,397
data\cache\state_tags\BG_031\240325.csv,898,{'6digit': 898},True,898
data\cache\state_tags\BG_031\250325.csv,901,{'6digit': 901},True,901
data\cache\state_tags\BG_031\25042025.csv,568,{'8digit': 568},True,568
data\cache\state_tags\BG_031\25062025.csv,315,{'8digit': 315},True,0
data\cache\state_tags\BG_031\260325.csv,925,{'6digit': 925},True,925
data\cache\state_tags\BG_031\270325.csv,614,{'6digit': 614},True,614
data\cache\state_tags\BG_031\280325.csv,279,{'6digit': 279},True,279
data\cache\state_tags\BG_031\28052025.csv,400,{'8digit': 400},True,400
data\cache\state_tags\BG_038\01052025.csv,686,{'8digit': 686},True,686
data\cache\state_tags\BG_038\01072025.csv,478,{'8digit': 478},True,0
data\cache\state_tags\BG_038\02062025.csv,559,{'8digit': 559},True,559
data\cache\state_tags\BG_038\02072025.csv,547,{'8digit': 547},True,0
data\cache\state_tags\BG_038\03072025.csv,467,{'8digit': 467},True,0
data\cache\state_tags\BG_038\04082025.csv,633,{'8digit': 633},True,0
data\cache\state_tags\BG_038\05082025.csv,597,{'8digit': 597},True,0
data\cache\state_tags\BG_038\08042025.csv,696,{'8digit': 696},True,696
data\cache\state_tags\BG_038\08052025.csv,568,{'8digit': 568},True,568
data\cache\state_tags\BG_038\08072025.csv,499,{'8digit': 499},True,0
data\cache\state_tags\BG_038\08082025.csv,2046,{'8digit': 2046},True,2046
data\cache\state_tags\BG_038\09042025.csv,511,{'8digit': 511},True,511
data\cache\state_tags\BG_038\09062025.csv,532,{'8digit': 532},True,532
data\cache\state_tags\BG_038\09072025.csv,474,{'8digit': 474},True,0
data\cache\state_tags\BG_038\10072025.csv,280,{'8digit': 280},True,0
data\cache\state_tags\BG_038\11062025.csv,602,{'8digit': 602},True,602
data\cache\state_tags\BG_038\11082025.csv,564,{'8digit': 564},True,564
data\cache\state_tags\BG_038\12082025.csv,653,{'8digit': 653},True,0
data\cache\state_tags\BG_038\13062025.csv,617,{'8digit': 617},True,617
data\cache\state_tags\BG_038\14052025.csv,382,{'8digit': 382},True,382
data\cache\state_tags\BG_038\15042025.csv,563,{'8digit': 563},True,563
data\cache\state_tags\BG_038\15072025.csv,511,{'8digit': 511},True,0
data\cache\state_tags\BG_038\15082025.csv,630,{'8digit': 630},True,0
data\cache\state_tags\BG_038\16052025.csv,399,{'8digit': 399},True,399
data\cache\state_tags\BG_038\17062025.csv,532,{'8digit': 532},True,532
data\cache\state_tags\BG_038\18082025.csv,563,{'8digit': 563},True,0
data\cache\state_tags\BG_038\19062025.csv,609,{'8digit': 609},True,609
data\cache\state_tags\BG_038\19082025.csv,520,{'8digit': 520},True,0
data\cache\state_tags\BG_038\20082025.csv,567,{'8digit': 567},True,0
data\cache\state_tags\BG_038\21072025.csv,804,{'8digit': 804},True,0
data\cache\state_tags\BG_038\22072025.csv,498,{'8digit': 498},True,0
data\cache\state_tags\BG_038\22082025.csv,575,{'8digit': 575},True,575
data\cache\state_tags\BG_038\23042025.csv,488,{'8digit': 488},True,488
data\cache\state_tags\BG_038\23062025.csv,527,{'8digit': 527},True,0
