doc,line,path
CLAUDE.md,224,analysis_suite/utils.py
CLAUDE.md,225,analysis_suite/utils.py
docs\ARCHITECTURE.md,80,analysis_suite/utils.py
docs\ARCHITECTURE.md,100,scripts/scripts_archive/
docs\ARCHITECTURE.md,100,scripts/pipelines/archive/
docs\ARCHITECTURE.md,101,src/visdetect/analysis/archive/
docs\ARCHITECTURE.md,121,analysis_suite/utils.py
docs\ARCHITECTURE.md,122,analysis_suite/run_all.py
docs\ARCHITECTURE.md,126,scripts/kilosort/
docs\ARCHITECTURE.md,128,scripts/sorting/
docs\ARCHITECTURE.md,129,scripts/sorting/DeepUnitMatch/
docs\ARCHITECTURE.md,130,scripts/scripts_archive/
docs\ARCHITECTURE.md,130,scripts/pipelines/archive/
docs\ARCHITECTURE.md,130,src/visdetect/analysis/archive/
docs\DOCUMENTATION_INDEX.md,84,docs/operations/
docs\driftplots_qc_spike.md,91,scripts/pipelines/tracking/driftplots_qc.py
docs\NORMALIZATION.md,89,analysis_suite/utils.py
docs\REFACTOR_PLAN.md,4,docs/AI_interaction/CODEBASE_REORGANIZATION_PLAN.md
docs\REFACTOR_PLAN.md,40,analysis_suite/loader.py
docs\REFACTOR_PLAN.md,45,analysis_suite/run_all.py
docs\REFACTOR_PLAN.md,63,scripts/scripts_archive/
docs\REFACTOR_PLAN.md,64,src/visdetect/analysis/archive/
docs\REFACTOR_PLAN.md,88,analysis_suite/utils.py
docs\REFACTOR_PLAN.md,113,analysis_suite/03_population/f_2d_decomposition.py
docs\STAGE_FILTERING_EXAMPLES.md,295,analysis_suite/loader.py
docs\AI_interaction\2d_decomposition_plan.md,11,analysis_suite/03_population/f_2d_decomposition.py
docs\AI_interaction\2d_decomposition_plan.md,15,analysis_suite/cache/2d_decomposition/
docs\AI_interaction\2d_decomposition_plan.md,86,analysis_suite/loader.py
docs\AI_interaction\2d_decomposition_plan.md,87,analysis_suite/loader.py
docs\AI_interaction\2d_decomposition_plan.md,88,analysis_suite/utils.py
docs\AI_interaction\2d_decomposition_plan.md,89,analysis_suite/plotting.py
docs\AI_interaction\2d_decomposition_plan.md,111,analysis_suite/run_all.py
docs\AI_interaction\camera_analysis_pipeline_plan.md,27,data/cache/video_sync/batch_sync_summary.csv
docs\AI_interaction\camera_analysis_pipeline_plan.md,34,data/cache/video_sync/batch_sync_summary.csv
docs\AI_interaction\camera_analysis_pipeline_plan.md,56,src/visdetect/core/camera_features.py
docs\AI_interaction\camera_analysis_pipeline_plan.md,88,scripts/video/batch_extract_motion_energy.py
docs\AI_interaction\camera_analysis_pipeline_plan.md,109,src/visdetect/core/camera_features.py
docs\AI_interaction\camera_analysis_pipeline_plan.md,145,scripts/video/validate_roi.py
docs\AI_interaction\camera_analysis_pipeline_plan.md,152,scripts/video/batch_extract_pupil.py
docs\AI_interaction\camera_analysis_pipeline_plan.md,183,scripts/video/derive_front_cam_sync.py
docs\AI_interaction\camera_analysis_pipeline_plan.md,196,analysis_suite/10_camera/
docs\AI_interaction\camera_analysis_pipeline_plan.md,200,analysis_suite/loader.py
docs\AI_interaction\camera_analysis_pipeline_plan.md,217,analysis_suite/run_all.py
docs\AI_interaction\camera_analysis_pipeline_plan.md,269,src/visdetect/core/camera_features.py
docs\AI_interaction\camera_analysis_pipeline_plan.md,269,scripts/video/batch_extract_motion_energy.py
docs\AI_interaction\camera_analysis_pipeline_plan.md,270,scripts/video/validate_roi.py
docs\AI_interaction\camera_analysis_pipeline_plan.md,270,scripts/video/batch_extract_pupil.py
docs\AI_interaction\camera_analysis_pipeline_plan.md,271,scripts/video/derive_front_cam_sync.py
docs\AI_interaction\camera_analysis_pipeline_plan.md,392,scripts/video/validate_roi.py
docs\AI_interaction\copilot-instructions.md,171,analysis_suite/README.md
docs\AI_interaction\copilot-instructions.md,180,data/RAW_SESSION_SCHEMA_BG_031_260325.json
docs\AI_interaction\handoff_may2026.md,11,data/cache/video_sync/coarse_offsets.json
docs\AI_interaction\handoff_may2026.md,189,data/cache/video_sync/coarse_offsets.json
docs\AI_interaction\handoff_refactor_may2026.md,143,analysis_suite/01_behavior/
docs\AI_interaction\handoff_refactor_may2026.md,144,analysis_suite/run_all.py
docs\AI_interaction\handoff_refactor_may2026.md,146,scripts/sorting/DeepUnitMatch/
