module,register_entries,uses_canonicaliser
visdetect/analysis/align.py,alignment-QC1;ref-ambiguity,False
visdetect/analysis/behavior.py,clean,False
visdetect/analysis/config.py,change-sizes-membership;id-corruption;ref-ambiguity;session-order;tf-period-5x,True
visdetect/analysis/constants.py,alignment-QC1;change-sizes-membership;ref-ambiguity;tf-period-5x,False
visdetect/analysis/ddm.py,id-corruption,False
visdetect/analysis/decision_latents.py,change-sizes-membership;id-corruption;session-order,False
visdetect/analysis/decision_latents_enginec.py,clean,False
visdetect/analysis/decision_latents_generative.py,id-corruption,True
visdetect/analysis/evidence_learning_io.py,stale-tf-registries,True
visdetect/analysis/hmm.py,clean,False
visdetect/analysis/hmm_downstream.py,alignment-QC1,False
visdetect/analysis/hmm_validation.py,lick-channel,False
visdetect/analysis/kernel_width.py,clean,False
visdetect/analysis/lick.py,lick-channel,False
visdetect/analysis/lick_channels.py,lick-channel,False
visdetect/analysis/neural_latents.py,session-order,True
visdetect/analysis/optotagging.py,clean,False
visdetect/analysis/population_field.py,alignment-QC1,False
visdetect/analysis/preparatory.py,clean,False
visdetect/analysis/psychophysical_kernel.py,clean,False
visdetect/analysis/spectrum_stats.py,clean,False
visdetect/analysis/state_calibration.py,state-tags,False
visdetect/analysis/state_labeling.py,change-sizes-membership;session-order,False
visdetect/analysis/state_provider.py,id-corruption;state-tags,False
visdetect/analysis/state_tf_learning.py,stale-tf-registries,True
visdetect/analysis/su_analysis.py,alignment-QC1,False
visdetect/analysis/tagging.py,alignment-QC1;change-sizes-membership,False
visdetect/analysis/tf_glm.py,change-sizes-membership;lick-channel;stale-tf-registries,False
visdetect/analysis/tf_glm_data.py,alignment-QC1;change-sizes-membership;lick-channel;ref-ambiguity,False
visdetect/analysis/tf_labeling.py,id-corruption,False
visdetect/analysis/tf_pulse.py,alignment-QC1,False
visdetect/analysis/tf_selectivity.py,clean,False
visdetect/analysis/track_curation.py,clean,False
visdetect/analysis/track_verdict.py,clean,False
visdetect/analysis/tracking_qc.py,alignment-QC1;change-sizes-membership;id-corruption,False
visdetect/analysis/tracking_registry.py,id-corruption,False
visdetect/analysis/unit_selection.py,alignment-QC1;qc-profile-noop,False
visdetect/analysis/utils.py,alignment-QC1;ref-ambiguity,False
visdetect/analysis/waveform_celltype.py,clean,False
visdetect/anatomy/atlas.py,clean,False
visdetect/anatomy/channel_geometry.py,clean,False
visdetect/anatomy/localize.py,clean,False
visdetect/anatomy/orientation.py,clean,False
visdetect/anatomy/peak_channel.py,clean,False
visdetect/anatomy/stereotaxic.py,clean,False
visdetect/anatomy/tracks.py,clean,False
visdetect/core/ingest.py,clean,False
visdetect/core/io.py,clean,False
visdetect/core/kilosort.py,clean,False
visdetect/core/qc.py,qc-profile-noop,False
visdetect/core/run_alignment.py,alignment-QC1;ref-ambiguity,False
visdetect/core/session.py,alignment-QC1,False
visdetect/core/spikeglx.py,clean,False
visdetect/core/video_sync.py,id-corruption,False
visdetect/integrations/bombcell_wrapper.py,clean,False
visdetect/io.py,clean,False
visdetect/session.py,clean,False
visdetect/suite/config.py,clean,False
visdetect/suite/loader.py,id-corruption;session-order;stale-tf-registries,True
visdetect/suite/plotting.py,clean,False
visdetect/suite/unit_table_schema.py,clean,False
visdetect/utils/progress.py,clean,False
visdetect/utils/synthetic.py,alignment-QC1,False
visdetect/viz/plotting.py,clean,False
