file,has_main,has_argparse,writes_figure,writes_data,in_degree_0
scripts\QC_CHECKS\audit_unit_table.py,True,True,False,False,True
scripts\QC_CHECKS\check_alignment_times.py,False,False,False,False,True
scripts\QC_CHECKS\check_change_nan_outcomes.py,False,False,False,False,True
scripts\QC_CHECKS\check_kilosort4_counts.py,False,False,False,False,True
scripts\QC_CHECKS\diagnostic_waveform_checks.py,False,True,True,False,True
scripts\QC_CHECKS\inspect_session.py,True,False,True,True,True
scripts\QC_CHECKS\validate_unitmatch_results.py,True,True,True,False,True
scripts\QC_technical\analyze_video_frame_offset.py,True,True,False,True,True
scripts\QC_technical\audit_trial_baselineon_alignment.py,True,True,False,True,True
scripts\QC_technical\characterize_unsolvable_alignment.py,True,True,False,True,True
scripts\QC_technical\repair_trial_event_alignment.py,True,True,False,True,True
scripts\QC_technical\validate_event_spike_clock_drift.py,True,True,False,False,True
scripts\QC_technical\validate_metadata_duration.py,True,True,False,True,True
scripts\QC_technical\validate_photodiode_sync.py,True,True,True,True,True
scripts\__init__.py,False,False,False,False,True
scripts\analysis\behavior\_regen_manifest.py,False,False,False,False,True
scripts\analysis\behavior\batch_run_behavior.py,True,True,False,False,True
scripts\analysis\behavior\early_lick_learning_trajectory.py,True,True,True,True,False
scripts\analysis\behavior\early_lick_replication.py,True,True,True,True,True
scripts\analysis\behavior\fa_lick_hazard_learning.py,True,True,True,True,True
scripts\analysis\behavior\fit_behavioral_hmm.py,True,True,True,True,True
scripts\analysis\behavior\hmm_behavioral_states.py,True,True,True,True,True
scripts\analysis\behavior\hmm_cross_validation.py,True,True,True,True,True
scripts\analysis\behavior\hmm_external_validation.py,True,True,True,True,True
scripts\analysis\behavior\hmm_neural_TF_event_comparison.py,True,True,True,True,True
scripts\analysis\behavior\hmm_neural_group_overlap.py,True,True,True,True,True
scripts\analysis\behavior\hmm_neural_states.py,True,True,True,True,True
scripts\analysis\behavior\hmm_predict.py,True,True,True,True,True
scripts\analysis\behavior\hmm_state_signature_diagnostic.py,True,True,True,False,True
scripts\analysis\behavior\plot_cross_session_behavior.py,True,True,True,True,True
scripts\analysis\behavior\plot_cross_session_trial_counts_hist.py,True,True,True,False,True
scripts\analysis\behavior\plot_session_behavior.py,True,True,True,False,True
scripts\analysis\behavior\run_behavior_pipeline.py,True,True,False,False,True
scripts\analysis\build_longitudinal_table.py,True,True,False,True,True
scripts\analysis\build_waveform_celltype_labels.py,True,False,False,True,True
scripts\analysis\check_fa_timing.py,False,False,True,False,True
scripts\analysis\coding_direction_stub.py,True,False,False,False,True
scripts\analysis\decision_latents\_comprehension_flag_explore.py,True,False,True,False,True
scripts\analysis\decision_latents\_concept_slide.py,False,False,True,False,True
