topic,newest_writer_commit,newest_artefact_mtime,n_files,verdict
behavior,2026-08-03,2026-07-27,19,stale
session_sorting,2026-08-12,2026-08-03,13,stale
talk_substrate,2026-07-09,2026-07-02,20,stale
tf_glm_bg046,2026-07-20,2026-07-16,42,stale
tf_responsive,2026-07-20,2026-07-01,4,stale
tracking_consensus,2026-07-16,2026-07-01,7,stale
um_ref,2026-07-02,2026-07-01,7,stale
chronic_feasibility,,2026-07-23,1,no-writer-found
population_field,,2026-07-10,2,no-writer-found
state_labeling,,2026-07-13,14,no-writer-found
state_tf_learning,,2026-07-01,10,no-writer-found
states,,2026-07-02,219,no-writer-found
tf_labeling,,2026-07-13,1,no-writer-found
tracking_dant,,2026-07-21,1,no-writer-found
dant,2026-07-02,2026-07-02,16104,current
decision_latents,2026-07-19,2026-07-19,19,current
evidence_learning,2026-07-02,2026-07-02,7,current
neural_latents,2026-06-30,2026-06-30,8,current
optotagging,2026-07-01,2026-07-23,5,current
preparatory_fig5,2026-07-21,2026-07-21,13,current
qc_alignment,2026-08-05,2026-08-11,3,current
state_tags,2026-08-03,2026-08-03,202,current
video_labels,2026-07-22,2026-08-07,1,current
video_sync,2026-07-23,2026-08-07,53,current
