file,line,target,category
scripts\analysis\build_longitudinal_table.py,28,src,repo-src
scripts\analysis\build_waveform_celltype_labels.py,14,src,repo-src
scripts\analysis\run_deep_unitmatch.py,60,<computed>,computed
scripts\analysis\behavior\early_lick_learning_trajectory.py,35,src,repo-src
scripts\analysis\behavior\early_lick_replication.py,28,src,repo-src
scripts\analysis\behavior\early_lick_replication.py,29,<computed>,computed
scripts\analysis\behavior\fa_lick_hazard_learning.py,38,src,repo-src
scripts\analysis\behavior\hmm_external_validation.py,33,src,repo-src
scripts\analysis\decision_latents\cluster_recovery_harness.py,84,<computed>,computed
scripts\analysis\decision_latents\cluster_recovery_harness.py,168,<computed>,computed
scripts\analysis\decision_latents\cluster_recovery_harness.py,340,<computed>,computed
scripts\anatomy\plot_tf_cells_on_atlas.py,47,<computed>,computed
scripts\anatomy\plot_units_on_atlas.py,44,<computed>,computed
scripts\anatomy\preflight_tracks.py,30,<computed>,computed
scripts\audit\d1_constants_census.py,8,<computed>,computed
scripts\audit\d1_executed_checks.py,13,<computed>,computed
scripts\audit\d2_layering.py,2,<computed>,computed
scripts\audit\d2_layering.py,7,<computed>,computed
scripts\audit\d2_layering.py,30,<computed>,computed
scripts\audit\d2_layering.py,36,<computed>,computed
scripts\audit\d5_guardrail_count.py,5,<computed>,computed
scripts\chronic_feasibility\chronic_feasibility_figure.py,53,src,repo-src
scripts\chronic_feasibility\chronic_feasibility_figure.py,54,scripts,other-literal
scripts\evidence_learning\b10_phase0_coverage.py,15,src,repo-src
scripts\evidence_learning\b10_phase1_behavioral.py,16,src,repo-src
scripts\evidence_learning\b10_phase1_neural.py,17,src,repo-src
scripts\evidence_learning\b10_phase2_state.py,18,src,repo-src
scripts\evidence_learning\b10_tf_tracking.py,22,src,repo-src
scripts\evidence_learning\b10_tf_tracking_paired.py,21,src,repo-src
scripts\kilosort_related\generate_chanmaps.py,25,<computed>,computed
scripts\neural_latents\n1_c1c_ramp_slope.py,74,<computed>,computed
scripts\optotagging\render_opto_candidates.py,61,<computed>,computed
scripts\optotagging\render_opto_exemplar_figure.py,44,<computed>,computed
scripts\pipelines\tracking\build_qc_sheets.py,42,src,repo-src
scripts\pipelines\tracking\curate_tracks.py,35,src,repo-src
scripts\pipelines\tracking\curate_tracks.py,36,<computed>,computed
scripts\pipelines\tracking\make_state_tables.py,24,src,repo-src
scripts\pipelines\tracking\make_state_tables.py,25,<computed>,computed
scripts\pipelines\tracking\qc_sheet_figures.py,21,src,repo-src
scripts\pipelines\tracking\regen_glt_from_um.py,15,src,repo-src
scripts\pipelines\tracking\render_curation_sheets.py,31,<computed>,computed
scripts\pipelines\tracking\render_curation_sheets.py,32,src,repo-src
scripts\pipelines\tracking\run_deepunitmatch_all.py,75,<computed>,computed
scripts\pipelines\tracking\run_deepunitmatch_all.py,277,<computed>,computed
scripts\pipelines\tracking\train_deepum_ae.py,15,<computed>,computed
scripts\pipelines\tracking\train_deepum_clip.py,21,<computed>,computed
scripts\pipelines\tracking\train_deepum_common.py,73,<computed>,computed
scripts\pipelines\tracking\validate_curation.py,20,src,repo-src
scripts\pipelines\tracking\validate_curation.py,21,<computed>,computed
scripts\pipelines\tracking\validate_long_tracks.py,34,src,repo-src
scripts\pipelines\tracking\tests\test_ae_smoke.py,4,<computed>,computed
scripts\pipelines\tracking\tests\test_deepum_common.py,3,<computed>,computed
scripts\pipelines\tracking\tests\test_deepum_smoke.py,4,<computed>,computed
scripts\pipelines\tracking\tests\test_eval_assembly.py,3,<computed>,computed
scripts\pipelines\tracking\tests\test_freeze_policy.py,3,<computed>,computed
scripts\popgeom_theta\theta_count_matched.py,19,src,repo-src
scripts\popgeom_theta\theta_prototype.py,22,src,repo-src
scripts\popgeom_theta\theta_support_matched.py,18,src,repo-src
scripts\qc\check_refactor_guardrails.py,13,<computed>,computed
scripts\qc\check_refactor_guardrails.py,47,<computed>,computed
scripts\qc\check_refactor_guardrails.py,82,<computed>,computed
scripts\QC_CHECKS\audit_unit_table.py,13,src,repo-src
scripts\QC_technical\audit_trial_baselineon_alignment.py,38,src,repo-src
scripts\QC_technical\characterize_unsolvable_alignment.py,85,src,repo-src
scripts\QC_technical\repair_trial_event_alignment.py,21,src,repo-src
scripts\QC_technical\validate_event_spike_clock_drift.py,39,<computed>,computed
scripts\session_sorting\apply_session_group_rule.py,22,src,repo-src
scripts\session_sorting\fit_session_group_rule.py,33,src,repo-src
scripts\session_sorting\run_session_sorter.py,46,src,repo-src
scripts\state_dynamics\within_session_dynamics.py,20,src,repo-src
scripts\state_labeling\calibrate_states.py,7,..,other-literal
scripts\state_labeling\make_learning_arc.py,16,..,other-literal
scripts\state_labeling\make_pipeline_figure.py,18,..,other-literal
scripts\state_labeling\make_slide_figure.py,18,..,other-literal
scripts\state_labeling\make_transfer_panel.py,27,..,other-literal
scripts\state_labeling\run_state_labeler.py,22,..,other-literal
scripts\state_labeling\tag_sessions.py,20,..,other-literal
scripts\state_labeling\validate_states.py,8,..,other-literal
scripts\state_tf_learning\b9_deliverable2.py,15,..,other-literal
scripts\state_tf_learning\b9_engagement.py,15,..,other-literal
scripts\state_tf_learning\b9_phase0_profile.py,15,..,other-literal
scripts\state_tf_learning\b9_recruitment.py,12,..,other-literal
