file,line,kind,source
src\visdetect\analysis\config.py,44,TF_SAMPLE_PERIOD,"TF_SAMPLE_PERIOD,"
src\visdetect\analysis\constants.py,113,TF_SAMPLE_PERIOD,TF_SAMPLE_PERIOD: float = 0.25   # seconds per baseline TF bin (4 Hz base)
src\visdetect\analysis\ddm.py,37,bare-dt,DT = 0.02   # integration grid (s); aligned to ~20 ms (sub-50 ms TF update perio
src\visdetect\analysis\decision_latents.py,69,bare-dt,"def build_trial_evidence_corrected(session, dt=0.05, tf_base=None):"
src\visdetect\analysis\decision_latents.py,75,bare-dt,frames_per_bin = int(round(dt * MONITOR_HZ))   # == 3 for dt=0.05
src\visdetect\analysis\decision_latents.py,189,bare-dt,"def build_trial_table(session, state_labels, session_name, dt=0.05):"
src\visdetect\analysis\decision_latents.py,225,bare-dt,"def censored_hazard(durations, events, dt=0.05, t_max=None):"
src\visdetect\analysis\decision_latents.py,242,bare-dt,"# duration d (d > 0) falls in bin ceil(d/dt)-1 (e.g. d=0.07, dt=0.05 →"
src\visdetect\analysis\decision_latents.py,367,bare-dt,"def itchiness_scores(trial_df, dt=0.05):"
src\visdetect\analysis\decision_latents.py,408,bare-dt,"def change_onset_hazard(trial_df, dt=0.05):"
src\visdetect\analysis\decision_latents.py,423,bare-dt,"def lick_hazard(trial_df, dt=0.05):"
src\visdetect\analysis\decision_latents.py,434,bare-dt,"def fa_lick_hazard(trial_df, dt=0.05):"
src\visdetect\analysis\decision_latents.py,500,bare-dt,"def timing_scores(trial_df, dt=0.05):"
src\visdetect\analysis\decision_latents.py,654,bare-dt,"def descriptive_cell_table(all_trials_df, min_cell_trials=1, dt=0.05):"
src\visdetect\analysis\decision_latents_generative.py,46,bare-dt,DT_GEN = 0.05                       # generative time grid (s); one TF update
src\visdetect\analysis\decision_latents_generative.py,177,bare-dt,"def leaky_accumulate(evidence, dt=0.05, leak_tau=0.27, rectification=""signed"","
src\visdetect\analysis\decision_latents_generative.py,221,bare-dt,"def build_design(trial_evidence_df, state_labels, mu, sigma, dt=0.05,"
src\visdetect\analysis\decision_latents_generative.py,872,bare-dt,"def build_anchor_designs(sessions, param_spec, mu_by_session, sigma, dt=0.05,"
src\visdetect\analysis\decision_latents_generative.py,1353,bare-dt,"def learning_ladder(anchor_designs, param_spec, dt=0.05, k=5, seed=0,"
src\visdetect\analysis\decision_latents_generative.py,2397,bare-dt,"regime_by_session, sigma, dt=0.05, leak_tau=0.27,"
src\visdetect\analysis\psychophysical_kernel.py,18,bare-dt,* Everything is dt = 0.05 s (the 50 ms TF update). Never 0.25.
scripts\analysis\behavior\hmm_neural_TF_event_comparison.py,111,TF_SAMPLE_PERIOD,"TF_SAMPLE_PERIOD,"
scripts\analysis\decision_latents\run_decision_latents_phase2.py,696,bare-dt,"ev_df = dl.build_trial_evidence_corrected(sess, dt=0.05)"
scripts\analysis\decision_latents\_evidence_builder_check.py,8,bare-dt,"for 3 frames (50 ms), so on the dt = 0.05 s grid bin ``k`` reads frame ``3k``."
scripts\analysis\decision_latents\_recovery_fixtures.py,8,bare-dt,log2-TF evidence at ``dt=0.05`` PLUS the ``true_theta`` that generated it.
scripts\analysis\decision_latents\_recovery_fixtures.py,146,bare-dt,The ragged Design (on real per-trial evidence at ``dt=0.05`` with a
scripts\analysis\decision_latents\_tf_sampling_check.py,12,bare-dt,"(3 / 60 Hz = 50 ms). So the true TF update period is 50 ms (-> dt = 0.05 s), and"
scripts\analysis\decision_latents\_tf_sampling_check.py,92,bare-dt,"print(f""=> true TF update period: {update_period_ms:.1f} ms  => dt = 0.05 s"")"
scripts\audit\d1_constants_census.py,110,TF_SAMPLE_PERIOD,# D1 TF-period consumer census (spec: every TF_SAMPLE_PERIOD consumer AND every
scripts\audit\d1_constants_census.py,111,bare-dt,# bare dt=0.05 / DT_GEN / DT=0.02 site; lowercase sites are invisible to the
scripts\audit\d1_constants_census.py,117,TF_SAMPLE_PERIOD,"tf_rows.append([str(f.relative_to(REPO)), i, ""TF_SAMPLE_PERIOD"", line.strip()[:8"
scripts\audit\d1_constants_census.py,150,TF_SAMPLE_PERIOD,"""TF_SAMPLE_PERIOD consumers + bare dt=0.05/DT_GEN/DT=0.02 sites"","
scripts\audit\d1_constants_census.py,150,bare-dt,"""TF_SAMPLE_PERIOD consumers + bare dt=0.05/DT_GEN/DT=0.02 sites"","
tests\analysis\test_decision_latents.py,80,bare-dt,"tab = dl.build_trial_table(synth_session, synth_state_labels, ""07072025"", dt=0.0"
tests\analysis\test_decision_latents.py,96,bare-dt,"centers, hz, surv = dl.censored_hazard(dur, ev, dt=0.05, t_max=0.15)"
tests\analysis\test_decision_latents.py,106,bare-dt,"_, hz, surv = dl.censored_hazard(dur, ev, dt=0.05, t_max=0.20)"
tests\analysis\test_decision_latents.py,113,bare-dt,"centers, hz, surv = dl.censored_hazard(np.array([0.07]), np.array([True]), dt=0."
tests\analysis\test_decision_latents.py,127,bare-dt,"df = dl.build_trial_evidence_corrected(sess, dt=0.05, tf_base=1.0)"
tests\analysis\test_decision_latents.py,216,bare-dt,"df[""decision_time""].values.astype(float), is_fa, dt=0.05)"
tests\analysis\test_decision_latents.py,225,bare-dt,"_, new_h, _ = dl.censored_hazard(censor_t, is_fa, dt=0.05)"
tests\analysis\test_decision_latents.py,239,bare-dt,"sc = dl.timing_scores(pd.DataFrame(rows), dt=0.05)"
tests\analysis\test_decision_latents.py,278,bare-dt,"cc, ch, _ = dl.change_onset_hazard(df, dt=0.05)"
tests\analysis\test_decision_latents.py,283,bare-dt,"sc = dl.timing_scores(df, dt=0.05)"
tests\analysis\test_decision_latents.py,325,bare-dt,"centers, hazard, survival = dl.fa_lick_hazard(df, dt=0.05)"
tests\analysis\test_decision_latents.py,334,bare-dt,"censor_t, (df[""outcome""] == ""fa"").values, dt=0.05)"
tests\analysis\test_decision_latents.py,364,bare-dt,"centers, hazard, survival = dl.fa_lick_hazard(df, dt=0.05)"
tests\analysis\test_decision_latents.py,372,bare-dt,"(df[""outcome""] == ""fa"").values, dt=0.05)"
tests\analysis\test_decision_latents_determinism.py,40,bare-dt,"step=1.2, noise=0.2, dt=0.05, go_p=0.75):"
tests\analysis\test_decision_latents_determinism.py,100,bare-dt,"kw = dict(dt=0.05, k=2, seed=0, n_restarts=2, return_ll=True, compute_cvll=True)"
tests\analysis\test_decision_latents_determinism.py,113,bare-dt,"kw = dict(dt=0.05, k=2, seed=0, n_restarts=2, return_ll=True, compute_cvll=False"
tests\analysis\test_decision_latents_generative.py,240,bare-dt,dt = 0.05
tests\analysis\test_decision_latents_generative.py,255,bare-dt,dt = 0.05
tests\analysis\test_decision_latents_generative.py,416,bare-dt,"design = dlg.build_design(ev_df, labels, mu=0.5, sigma=0.8, dt=0.05)"
tests\analysis\test_decision_latents_generative.py,449,bare-dt,"design = dlg.build_design(ev_df, labels, mu=0.5, sigma=0.8, dt=0.05,"
tests\analysis\test_decision_latents_generative.py,452,bare-dt,"expected_A = dlg.leaky_accumulate(row[""evidence""], dt=0.05,"
tests\analysis\test_decision_latents_generative.py,461,bare-dt,"design = dlg.build_design(ev_df, labels, mu=0.5, sigma=0.8, dt=0.05)"
tests\analysis\test_decision_latents_generative.py,478,bare-dt,"design = dlg.build_design(ev_df, labels, mu=0.5, sigma=0.8, dt=0.05)"
tests\analysis\test_decision_latents_generative.py,490,bare-dt,"design = dlg.build_design(ev_df, labels, mu=0.5, sigma=0.8, dt=0.05)"
tests\analysis\test_decision_latents_generative.py,500,bare-dt,"design = dlg.build_design(ev_df, labels, mu=0.5, sigma=0.8, dt=0.05)"
tests\analysis\test_decision_latents_generative.py,533,bare-dt,"dt=0.05,"
tests\analysis\test_decision_latents_generative.py,558,bare-dt,"dt=0.05,"
tests\analysis\test_decision_latents_generative.py,771,bare-dt,"dt=0.05,"
tests\analysis\test_decision_latents_generative.py,943,bare-dt,"def _identifiable_recovery_design(n_trials=2000, dt=0.05, seed=0,"
tests\analysis\test_decision_latents_generative.py,1005,bare-dt,"design = _identifiable_recovery_design(n_trials=2000, dt=0.05, seed=0)"
