figure,topic,method,producer
FIGURES\anatomy\BG_031\BG_031_25042025_lick_fa_auroc.png,anatomy,unique-topic-writer,scripts/anatomy/render_brain_3d.py
FIGURES\anatomy\BG_031\BG_031_tf_responsive_stereotaxic.png,anatomy,unique-topic-writer,scripts/anatomy/render_brain_3d.py
FIGURES\anatomy\BG_031\BG_031_width_class_stereotaxic.png,anatomy,unique-topic-writer,scripts/anatomy/render_brain_3d.py
FIGURES\anatomy\BG_046\BG_046_17092025_lick_contrast.png,anatomy,unique-topic-writer,scripts/anatomy/render_brain_3d.py
FIGURES\anatomy\BG_046\views\BG_046_3d_sagittal.png,anatomy,unique-topic-writer,scripts/anatomy/render_brain_3d.py
FIGURES\behavior\BG_031\BG_031_28052025\psychometric_curve.png,behavior,stem-in-source,scripts/analysis/behavior/plot_session_behavior.py
FIGURES\behavior\BG_038\BG_038_20082025\psychometric_curve.png,behavior,stem-in-source,scripts/analysis/behavior/plot_session_behavior.py
FIGURES\behavior\BG_040\BG_040_10062025\psychometric_curve.png,behavior,stem-in-source,scripts/analysis/behavior/plot_session_behavior.py
FIGURES\behavior\BG_046\BG_046_13082025\session_dynamics.png,behavior,stem-in-source,scripts/analysis/behavior/plot_session_behavior.py
FIGURES\behavior\BG_046\BG_046_19082025\psychometric_curve.png,behavior,stem-in-source,scripts/analysis/behavior/plot_session_behavior.py
FIGURES\chronic_feasibility\BG_046\fig1_population_baseline.pdf,chronic_feasibility,untraceable,
FIGURES\chronic_feasibility\BG_046\fig2_tracked_gallery_dant.png,chronic_feasibility,untraceable,
FIGURES\chronic_feasibility\BG_046\fig2_tracked_gallery_um.png,chronic_feasibility,untraceable,
FIGURES\chronic_feasibility\BG_046\fig3_tracked_across_heatmaps_dant.pdf,chronic_feasibility,untraceable,
FIGURES\chronic_feasibility\BG_046\fig3_tracked_across_heatmaps_dant.png,chronic_feasibility,untraceable,
FIGURES\decision_latents\BG_046\_pre_qc_20260620\fig_b8_F1A_curves_by_comprehension.png,decision_latents,stem-in-source,scripts/analysis/decision_latents/run_decision_latents_by_state.py
FIGURES\decision_latents\BG_046\_pre_qc_20260620\fig_b8_QC_distributions.png,decision_latents,stem-in-source,scripts/analysis/decision_latents/behavioral_qc_profile.py
FIGURES\decision_latents\BG_046\fig_b8_F1A_curves_by_thirds.png,decision_latents,stem-in-source,scripts/analysis/decision_latents/run_decision_latents_by_state.py
FIGURES\decision_latents\BG_046\fig_b8_F5_bias_not_gain.png,decision_latents,stem-in-source,scripts/analysis/decision_latents/run_decision_latents_by_state.py
FIGURES\decision_latents\BG_046\fig_b8_QC_distributions.png,decision_latents,stem-in-source,scripts/analysis/decision_latents/behavioral_qc_profile.py
FIGURES\evidence_learning\neural\b10_neural_kernel.png,evidence_learning,stem-in-source,scripts/evidence_learning/b10_phase1_neural.py
FIGURES\evidence_learning\pooled\b10_behavioral_kernel.png,evidence_learning,stem-in-source,scripts/evidence_learning/b10_phase1_behavioral.py
FIGURES\evidence_learning\state\b10_state_kernel.png,evidence_learning,stem-in-source,scripts/evidence_learning/b10_phase2_state.py
FIGURES\evidence_learning\tracking\b10_tf_tracking.png,evidence_learning,stem-in-source,scripts/evidence_learning/b10_tf_tracking.py
FIGURES\neural_latents\BG_046\fig_n1_c1_gate.png,neural_latents,stem-in-source,scripts/neural_latents/n1_c1_gate.py
FIGURES\neural_latents\BG_046\fig_n1_c1b_within_fa.png,neural_latents,stem-in-source,scripts/neural_latents/n1_c1b_within_fa.py
FIGURES\neural_latents\BG_046\fig_n1_c1c_ramp_slope.png,neural_latents,stem-in-source,scripts/neural_latents/n1_c1c_ramp_slope.py
FIGURES\neural_latents\BG_046\fig_n1_summary.png,neural_latents,stem-in-source,scripts/neural_latents/run_n1.py
FIGURES\neural_latents\BG_046\n1_synthetic_recovery.png,neural_latents,stem-in-source,scripts/neural_latents/_synthetic_recovery.py
FIGURES\optotagging\BG_046\fig43d_candidate_gallery_p03.png,optotagging,untraceable,
FIGURES\optotagging\BG_046\fig43d_candidate_gallery_p04.png,optotagging,untraceable,
FIGURES\optotagging\BG_046\fig43d_candidate_gallery_p07.png,optotagging,untraceable,
FIGURES\optotagging\BG_046\fig43d_candidate_gallery_p12.png,optotagging,untraceable,
FIGURES\optotagging\BG_046\fig43d_candidate_gallery_p13.png,optotagging,untraceable,
FIGURES\popgeom_fa_cutoff\behavioural_statespace_trajectories.png,popgeom_fa_cutoff,untraceable,
FIGURES\popgeom_fa_cutoff\fa_lick_hazard_by_mouse.png,popgeom_fa_cutoff,untraceable,
FIGURES\popgeom_theta\theta_count_matched.png,popgeom_theta,stem-in-source,scripts/audit/d3_scripts_census.py
FIGURES\popgeom_theta\theta_prototype.png,popgeom_theta,stem-in-source,scripts/audit/d3_scripts_census.py
FIGURES\popgeom_theta\theta_support_matched.png,popgeom_theta,stem-in-source,scripts/popgeom_theta/theta_support_matched.py
FIGURES\population_field\BG_046\registration_qc.png,population_field,stem-in-source,scripts/population_field/registration_qc.py
FIGURES\preparatory_fig5\DMS\fig5e_fa.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\DMS\fig5e_fa.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\DMS\fig5e_hit.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\DMS\fig5e_hit.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\DMS\fig5fg_fa.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\DMS\fig5fg_fa.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\DMS\fig5fg_hit.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\DMS\fig5fg_hit.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\DMS\fig5h_fa.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\DMS\fig5h_fa.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\DMS\fig5h_hit.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\DMS\fig5h_hit.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\hit_vs_fa\fig_hit_vs_fa.pdf,preparatory_fig5,stem-in-source,scripts/tf_responsiveness/preparatory_fig5/fig_hit_vs_fa.py
FIGURES\preparatory_fig5\hit_vs_fa\fig_hit_vs_fa.png,preparatory_fig5,stem-in-source,scripts/tf_responsiveness/preparatory_fig5/fig_hit_vs_fa.py
FIGURES\preparatory_fig5\permutation\fig_permutation_vs_parametric_hit.pdf,preparatory_fig5,stem-in-source,scripts/tf_responsiveness/preparatory_fig5/permutation_significance_control.py
FIGURES\preparatory_fig5\permutation\fig_permutation_vs_parametric_hit.png,preparatory_fig5,stem-in-source,scripts/tf_responsiveness/preparatory_fig5/permutation_significance_control.py
FIGURES\preparatory_fig5\pooled\fig5e_fa.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\pooled\fig5e_fa.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\pooled\fig5e_hit.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\pooled\fig5e_hit.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\pooled\fig5fg_fa.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\pooled\fig5fg_fa.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\pooled\fig5fg_hit.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\pooled\fig5fg_hit.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\pooled\fig5h_fa.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\pooled\fig5h_fa.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\pooled\fig5h_hit.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\pooled\fig5h_hit.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\VMS\fig5e_fa.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\VMS\fig5e_fa.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\VMS\fig5e_hit.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\VMS\fig5e_hit.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\VMS\fig5fg_fa.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\VMS\fig5fg_fa.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\VMS\fig5fg_hit.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\VMS\fig5fg_hit.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\VMS\fig5h_fa.pdf,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\VMS\fig5h_fa.png,preparatory_fig5,untraceable,
FIGURES\preparatory_fig5\VMS\fig5h_hit.pdf,preparatory_fig5,untraceable,
