subject,session_name,presentation_idx,is_repeat,group,confidence,labeler,timestamp,notes
BG_046,20082025,0,False,Balanced,high,Ben,2026-07-31T15:56:08+00:00,
BG_046,24072025,1,False,Deteriorating,high,Ben,2026-07-31T15:56:48+00:00,
BG_046,30062025,2,False,Deteriorating,high,Ben,2026-07-31T15:57:02+00:00,
BG_046,15082025,3,False,Balanced,high,Ben,2026-07-31T15:57:16+00:00,
BG_046,17092025,4,False,Balanced,high,Ben,2026-07-31T15:57:22+00:00,
BG_046,14082025,5,False,Impulsive-dominated,high,Ben,2026-07-31T15:57:29+00:00,
BG_046,28082025,6,False,Impulsive-dominated,high,Ben,2026-07-31T15:57:44+00:00,
BG_046,23062025,7,False,Low-yield,high,Ben,2026-07-31T15:58:14+00:00,
BG_046,03072025,8,False,Balanced,high,Ben,2026-07-31T15:58:23+00:00,
BG_046,15092025,9,False,Balanced,high,Ben,2026-07-31T15:58:27+00:00,
BG_046,25062025,10,False,Impulsive-dominated,high,Ben,2026-07-31T15:58:32+00:00,
BG_046,04082025,11,False,Balanced,high,Ben,2026-08-03T10:44:44+00:00,
BG_046,19082025,12,False,Balanced,high,Ben,2026-07-31T20:55:23+00:00,
BG_046,05082025,13,False,Unsure,high,Ben,2026-07-31T21:09:53+00:00,
BG_046,14072025,14,False,Disengaged-dominated,high,Ben,2026-07-31T21:10:11+00:00,
BG_046,03092025,15,False,Balanced,high,Ben,2026-07-31T21:11:24+00:00,
BG_046,12092025,16,False,Balanced,high,Ben,2026-07-31T21:11:41+00:00,
BG_046,27082025,17,False,Balanced,high,Ben,2026-07-31T21:12:54+00:00,
BG_046,11092025,18,False,Balanced,high,Ben,2026-07-31T21:13:00+00:00,
BG_046,26062025,19,False,Impulsive-dominated,high,Ben,2026-07-31T21:13:04+00:00,
BG_046,18082025,20,False,Impulsive-dominated,high,Ben,2026-07-31T21:13:11+00:00,
BG_046,22072025,21,False,Deteriorating,high,Ben,2026-08-03T10:43:10+00:00,
BG_046,16092025,22,False,Balanced,high,Ben,2026-07-31T21:13:49+00:00,
BG_046,27062025,23,False,Impulsive-dominated,high,Ben,2026-07-31T21:13:52+00:00,
BG_046,08072025,24,False,Disengaged-dominated,high,Ben,2026-07-31T21:13:56+00:00,
BG_046,02092025,25,False,Balanced,high,Ben,2026-07-31T21:14:08+00:00,
BG_046,26082025,26,False,Deteriorating,high,Ben,2026-08-03T10:42:04+00:00,
BG_046,28072025,27,False,Disengaged-dominated,high,Ben,2026-07-31T21:14:20+00:00,
BG_046,29082025,28,True,Balanced,high,Ben,2026-07-31T21:14:38+00:00,
BG_046,12082025,29,False,Balanced,high,Ben,2026-07-31T21:14:39+00:00,
BG_046,21072025,30,False,Impulsive-dominated,high,Ben,2026-07-31T21:14:55+00:00,
