subject,session,unit,n_fast,n_slow,pulse_fwhm_all,pulse_spread_all
BG_046,BG_046_04082025,282,5075,5115,0.06472582939169957,0.26587672182704536
BG_046,BG_046_04082025,299,5075,5115,0.10865529944936841,0.21964939654952695
BG_046,BG_046_04082025,518,5075,5115,0.06063699540227458,0.25502092713208346
BG_046,BG_046_04082025,563,5075,5115,0.03410232333148383,0.27320184818360865
BG_046,BG_046_04082025,583,5075,5115,0.05796641533327407,0.2370872271353484
BG_046,BG_046_10092025,184,15329,15492,0.09344373895290042,0.23608498837196448
BG_046,BG_046_10092025,204,15329,15492,0.09293483501473604,0.2122208121855047
BG_046,BG_046_10092025,457,15329,15492,0.12100607956206821,0.24502239931155118
BG_046,BG_046_10092025,470,15329,15492,0.11210552481288755,0.24728685004174267
BG_046,BG_046_10092025,561,15329,15492,0.06470463715945152,0.28853663355353615
BG_046,BG_046_01072025,278,12678,12613,0.17648635040951033,0.23603812257888052
BG_046,BG_046_12082025,470,12809,12793,0.06110130131000299,0.2733383304484763
BG_046,BG_046_02072025,150,10461,10617,0.10015127686667626,0.2687981410805838
BG_046,BG_046_02072025,262,10461,10617,0.06503847318717582,0.2119771394205896
BG_046,BG_046_02072025,277,10461,10617,0.09720716260717734,0.23464584323218662
BG_046,BG_046_02072025,501,10461,10617,0.10671068203810258,0.15980423753552897
BG_046,BG_046_03072025,191,13152,13013,0.08080781255080874,0.2261521787110833
BG_046,BG_046_03072025,276,13152,13013,0.08130800725330656,0.21336026908250577
BG_046,BG_046_03072025,471,13152,13013,0.13165317096352291,0.22591582263907292
BG_046,BG_046_03072025,598,13152,13013,0.055743442802015486,0.24763360600205395
BG_046,BG_046_12092025,286,13251,13538,0.06681088787268208,0.24958641898198974
BG_046,BG_046_12092025,395,13251,13538,0.3177003202934655,0.2326964082622233
BG_046,BG_046_12092025,568,13251,13538,0.06179349565044935,0.28326663681244113
BG_046,BG_046_11092025,244,15787,15826,0.0701526160546067,0.2645195365226982
BG_046,BG_046_11092025,285,15787,15826,0.1418864825796743,0.23737158598781607
BG_046,BG_046_11092025,537,15787,15826,0.11479963521496722,0.2620800427081726
BG_046,BG_046_13082025,144,14700,14914,0.10994487766726435,0.25315815921569923
BG_046,BG_046_13082025,478,14700,14914,0.1327919829025298,0.2413801465070085
BG_046,BG_046_02092025,16,11543,11723,0.1227859399555532,0.2599220213620375
BG_046,BG_046_02092025,17,11543,11723,0.07202102800045607,0.2314903190605484
BG_046,BG_046_02092025,287,11543,11723,0.10107748965908714,0.2667166867643016
