session_name,start_trial,end_trial,state_label,labeler,timestamp,notes
17092025,4,200,Impulsive,Ben,2026-06-11T16:27:57.068744,
17092025,455,483,Impulsive,Ben,2026-06-11T16:29:27.892626,
17092025,210,454,StimSens,Ben,2026-06-11T16:31:05.276955,
17092025,510,738,StimSens,Ben,2026-06-11T16:33:31.364970,
16092025,11,182,Impulsive,Ben,2026-06-11T16:40:00.932684,
16092025,207,329,StimSens,Ben,2026-06-11T16:41:13.740828,
16092025,514,540,StimSens,Ben,2026-06-11T16:42:18.197032,
16092025,405,450,StimSens,Ben,2026-06-11T16:43:07.420643,
15092025,7,182,Impulsive,Ben,2026-06-11T16:44:25.612566,
15092025,494,602,Impulsive,Ben,2026-06-11T16:44:59.180459,
15092025,266,395,StimSens,Ben,2026-06-11T16:45:55.812784,
12092025,331,399,StimSens,Ben,2026-06-11T16:48:06.669084,
12092025,487,538,StimSens,Ben,2026-06-11T16:48:58.581392,
12092025,46,127,Impulsive,Ben,2026-06-11T16:49:49.861221,
12092025,8,23,Disengaged,Ben,2026-06-11T16:50:08.859924,
11092025,22,31,Impulsive,Ben,2026-06-11T16:51:07.733341,
11092025,42,54,Impulsive,Ben,2026-06-11T16:51:12.788762,
11092025,94,108,StimSens,Ben,2026-06-11T16:51:36.356914,
11092025,129,142,StimSens,Ben,2026-06-11T16:52:07.620765,
11092025,157,184,StimSens,Ben,2026-06-11T16:52:25.332898,
11092025,244,271,StimSens,Ben,2026-06-11T16:52:46.956900,
11092025,454,483,Impulsive,Ben,2026-06-11T16:53:20.684916,
10092025,31,64,StimSens,Ben,2026-06-11T16:54:23.404929,
10092025,70,104,Impulsive,Ben,2026-06-11T16:54:32.413248,
10092025,2,16,Disengaged,Ben,2026-06-11T16:54:47.092896,
10092025,177,194,Disengaged,Ben,2026-06-11T16:54:52.876926,
10092025,234,252,Disengaged,Ben,2026-06-11T16:55:00.252262,
10092025,274,292,Disengaged,Ben,2026-06-11T16:55:05.916904,
10092025,309,326,Disengaged,Ben,2026-06-11T16:55:13.068910,
10092025,362,381,Disengaged,Ben,2026-06-11T16:55:17.940867,
10092025,336,348,Disengaged,Ben,2026-06-11T16:55:22.556916,
10092025,461,475,StimSens,Ben,2026-06-11T16:56:00.228349,
10092025,483,494,Impulsive,Ben,2026-06-11T16:56:09.284919,
09092025,1,16,Disengaged,Ben,2026-06-11T16:56:38.596797,
09092025,35,72,Impulsive,Ben,2026-06-11T16:56:50.420928,
09092025,117,149,Impulsive,Ben,2026-06-11T16:56:59.228539,
09092025,98,109,StimSens,Ben,2026-06-11T16:57:07.037620,
09092025,219,235,StimSens,Ben,2026-06-11T16:57:14.468949,
09092025,329,360,StimSens,Ben,2026-06-11T16:57:22.372933,
08092025,541,605,StimSens,Ben,2026-06-11T16:58:32.588942,
08092025,65,228,Impulsive,Ben,2026-06-11T16:58:47.229095,
03092025,157,157,Impulsive,Ben,2026-06-11T16:59:04.852778,
03092025,39,79,Impulsive,Ben,2026-06-11T17:00:21.341202,
03092025,218,258,StimSens,Ben,2026-06-11T17:00:43.468822,
03092025,293,312,StimSens,Ben,2026-06-11T17:00:53.316376,
03092025,445,459,StimSens,Ben,2026-06-11T17:01:19.244825,
02092025,281,320,StimSens,Ben,2026-06-11T17:01:37.228911,
02092025,399,411,StimSens,Ben,2026-06-11T17:01:48.947981,
02092025,10,75,Impulsive,Ben,2026-06-11T17:02:22.748961,
02092025,11,36,Impulsive,Ben,2026-06-11T17:07:29.540870,
02092025,111,128,Impulsive,Ben,2026-06-11T17:07:38.661366,
02092025,280,321,StimSens,Ben,2026-06-11T17:07:56.893015,
01092025,13,61,Impulsive,Ben,2026-06-11T17:08:29.252870,
01092025,161,188,Impulsive,Ben,2026-06-11T17:08:41.220652,
01092025,315,352,StimSens,Ben,2026-06-11T17:08:52.181003,
01092025,499,551,StimSens,Ben,2026-06-11T17:09:01.373023,
29082025,167,203,Impulsive,Ben,2026-06-11T17:09:49.381005,
29082025,263,273,Impulsive,Ben,2026-06-11T17:09:53.892504,
29082025,348,358,Impulsive,Ben,2026-06-11T17:10:04.125260,
29082025,18,38,Impulsive,Ben,2026-06-11T17:10:10.253017,
28082025,13,53,Impulsive,Ben,2026-06-11T17:10:26.469009,
28082025,122,140,Impulsive,Ben,2026-06-11T17:10:32.045010,
28082025,196,217,Impulsive,Ben,2026-06-11T17:10:36.980998,
27082025,510,522,StimSens,Ben,2026-06-11T17:11:23.197070,
27082025,449,456,StimSens,Ben,2026-06-11T17:11:29.228658,
27082025,102,114,StimSens,Ben,2026-06-11T17:11:40.573035,
27082025,57,73,Impulsive,Ben,2026-06-11T17:12:00.340171,
20082025,424,443,Disengaged,Ben,2026-06-11T17:12:11.788475,
20082025,2,8,Disengaged,Ben,2026-06-11T17:12:25.996500,
20082025,86,124,Impulsive,Ben,2026-06-11T17:12:34.069258,
20082025,311,325,Impulsive,Ben,2026-06-11T17:12:38.501997,
20082025,359,367,Impulsive,Ben,2026-06-11T17:12:41.348846,
19082025,299,389,StimSens,Ben,2026-06-11T17:13:01.261692,
19082025,418,439,StimSens,Ben,2026-06-11T17:13:13.485659,
19082025,61,69,StimSens,Ben,2026-06-11T17:13:21.269039,
19082025,3,38,Impulsive,Ben,2026-06-11T17:13:27.269041,
19082025,391,398,Impulsive,Ben,2026-06-11T17:13:40.628904,
19082025,468,492,Impulsive,Ben,2026-06-11T17:13:44.884983,
19082025,550,564,StimSens,Ben,2026-06-11T17:13:53.980150,
19082025,578,586,StimSens,Ben,2026-06-11T17:13:59.420978,
15082025,36,147,StimSens,Ben,2026-06-11T17:27:31.356977,
15082025,38,151,Impulsive,Ben,2026-06-11T17:27:39.548307,
15082025,36,147,Impulsive,Ben,2026-06-11T17:27:52.068416,
14082025,747,877,Impulsive,Ben,2026-06-11T17:28:06.413030,
14082025,482,531,Impulsive,Ben,2026-06-11T17:28:10.485029,
14082025,20,156,Impulsive,Ben,2026-06-11T17:28:22.988462,
13082025,283,296,StimSens,Ben,2026-06-11T17:29:14.261555,
13082025,254,282,Disengaged,Ben,2026-06-11T17:29:22.941049,
13082025,403,413,Disengaged,Ben,2026-06-11T17:29:29.140441,
13082025,436,458,Impulsive,Ben,2026-06-11T17:29:36.581039,
13082025,336,345,Impulsive,Ben,2026-06-11T17:29:39.692763,
13082025,357,374,Impulsive,Ben,2026-06-11T17:29:42.837037,
13082025,11,31,StimSens,Ben,2026-06-11T17:29:53.373038,
13082025,37,48,Impulsive,Ben,2026-06-11T17:29:58.829041,
13082025,1,5,Disengaged,Ben,2026-06-11T17:30:11.677047,
13082025,254,281,Disengaged,Ben,2026-06-11T17:30:19.429044,
13082025,312,323,Disengaged,Ben,2026-06-11T17:30:31.796903,
13082025,172,196,Impulsive,Ben,2026-06-11T17:30:42.532956,
12082025,4,15,Disengaged,Ben,2026-06-11T17:31:14.196921,
12082025,75,95,Impulsive,Ben,2026-06-11T17:31:25.253255,
12082025,129,142,StimSens,Ben,2026-06-11T17:31:33.333045,
12082025,197,213,StimSens,Ben,2026-06-11T17:31:37.285046,
12082025,330,338,StimSens,Ben,2026-06-11T17:31:45.677062,
12082025,386,397,Impulsive,Ben,2026-06-11T17:32:02.892522,
25072025,521,551,Disengaged,Ben,2026-06-11T17:32:40.373073,
25072025,431,446,Disengaged,Ben,2026-06-11T17:32:46.339989,
25072025,109,122,StimSens,Ben,2026-06-11T17:33:01.060718,
25072025,132,137,Impulsive,Ben,2026-06-11T17:33:08.669060,
25072025,494,504,Impulsive,Ben,2026-06-11T17:33:12.173059,
25072025,368,375,Impulsive,Ben,2026-06-11T17:33:16.364987,
25072025,5,18,Impulsive,Ben,2026-06-11T17:33:24.509051,
25072025,29,35,Impulsive,Ben,2026-06-11T17:33:26.476969,
09072025,53,68,StimSens,Ben,2026-06-11T17:33:44.629065,
09072025,204,209,StimSens,Ben,2026-06-11T17:33:52.332933,
09072025,231,239,StimSens,Ben,2026-06-11T17:34:00.748895,
09072025,270,274,StimSens,Ben,2026-06-11T17:34:17.525874,
09072025,443,449,StimSens,Ben,2026-06-11T17:34:30.189071,
04072025,23,133,Impulsive,Ben,2026-06-11T17:37:12.093435,
04072025,203,232,Impulsive,Ben,2026-06-11T17:37:19.437081,
04072025,362,384,StimSens,Ben,2026-06-11T17:37:45.644012,
04072025,268,286,Impulsive,Ben,2026-06-11T17:37:56.757087,
04072025,435,455,Disengaged,Ben,2026-06-11T17:38:19.037053,
03072025,12,63,Impulsive,Ben,2026-06-11T17:38:40.285089,
03072025,166,198,StimSens,Ben,2026-06-11T17:38:54.204885,
03072025,403,434,StimSens,Ben,2026-06-11T17:39:00.812848,
03072025,443,536,Disengaged,Ben,2026-06-11T17:39:13.980968,
03072025,338,352,Impulsive,Ben,2026-06-11T17:39:20.236690,
03072025,265,334,StimSens,Ben,2026-06-11T17:39:32.988833,
02072025,3,16,Impulsive,Ben,2026-06-11T17:39:44.677114,
02072025,54,188,Impulsive,Ben,2026-06-11T17:39:47.501092,
02072025,194,251,Impulsive,Ben,2026-06-11T17:39:51.981118,
02072025,258,393,Impulsive,Ben,2026-06-11T17:40:00.756978,
02072025,480,542,StimSens,Ben,2026-06-11T17:40:09.381103,
02072025,554,617,StimSens,Ben,2026-06-11T17:40:19.661564,
01072025,497,631,Impulsive,Ben,2026-06-11T17:40:34.020973,
01072025,400,492,StimSens,Ben,2026-06-11T17:40:42.117107,
01072025,270,308,StimSens,Ben,2026-06-11T17:40:47.376310,
01072025,191,267,Impulsive,Ben,2026-06-11T17:40:52.277107,
01072025,79,173,Impulsive,Ben,2026-06-11T17:41:01.061111,
01072025,0,57,Disengaged,Ben,2026-06-11T17:41:06.757110,
27062025,3,184,Impulsive,Ben,2026-06-11T17:41:27.173113,
27062025,320,334,Impulsive,Ben,2026-06-11T17:41:35.789723,
27062025,493,518,StimSens,Ben,2026-06-11T17:41:48.413223,
27062025,532,576,Impulsive,Ben,2026-06-11T17:41:51.845455,
27062025,584,602,Impulsive,Ben,2026-06-11T17:41:53.884282,
27062025,5,185,Impulsive,Ben,2026-06-11T17:42:11.836386,
27062025,202,239,Impulsive,Ben,2026-06-11T17:42:14.980759,
27062025,282,291,Impulsive,Ben,2026-06-11T17:42:17.372566,
27062025,321,333,Impulsive,Ben,2026-06-11T17:42:20.972437,
27062025,533,603,Impulsive,Ben,2026-06-11T17:42:33.037127,
27062025,499,527,StimSens,Ben,2026-06-11T17:42:42.469065,
27062025,336,351,StimSens,Ben,2026-06-11T17:42:56.020984,
16092025,359,373,Abort,Ben,2026-06-12T13:45:37.508946,
16092025,467,480,Abort,Ben,2026-06-12T13:45:42.332244,
16092025,551,556,Abort,Ben,2026-06-12T13:45:47.379668,
16092025,569,582,Abort,Ben,2026-06-12T13:45:50.828517,
12092025,444,463,Abort,Ben,2026-06-12T13:46:33.212418,
12092025,429,436,Abort,Ben,2026-06-12T13:46:46.860883,
12092025,322,326,Abort,Ben,2026-06-12T13:46:51.893107,
12092025,159,168,Abort,Ben,2026-06-12T13:47:15.147915,
11092025,418,423,Abort,Ben,2026-06-12T13:47:26.628711,
11092025,488,491,Abort,Ben,2026-06-12T13:47:30.284894,
11092025,36,40,Abort,Ben,2026-06-12T13:47:39.620528,
12092025,159,169,Abort,Ben,2026-06-12T13:47:51.252611,
12092025,444,463,Abort,Ben,2026-06-12T13:48:00.588425,
12092025,322,327,Abort,Ben,2026-06-12T13:48:04.380720,
11092025,418,424,Abort,Ben,2026-06-12T13:48:12.868576,
11092025,488,491,Abort,Ben,2026-06-12T13:48:17.316776,
11092025,148,152,Abort,Ben,2026-06-12T13:48:27.596714,
11092025,35,40,Abort,Ben,2026-06-12T13:48:33.876716,
09092025,437,441,Abort,Ben,2026-06-12T13:49:12.524741,
08092025,500,507,Abort,Ben,2026-06-12T13:49:33.268724,
03092025,1,1,Abort,Ben,2026-06-12T13:49:56.308217,
03092025,1,1,Abort,Ben,2026-06-12T13:51:24.772163,
03092025,1,1,Abort,Ben,2026-06-12T13:51:27.907659,
03092025,339,357,Abort,Ben,2026-06-12T13:58:01.668669,
03092025,382,393,Abort,Ben,2026-06-12T13:58:05.541015,
03092025,498,504,Abort,Ben,2026-06-12T13:58:11.964780,
03092025,538,554,Abort,Ben,2026-06-12T13:58:19.652970,
03092025,84,97,Abort,Ben,2026-06-12T13:58:24.796650,
03092025,205,214,Abort,Ben,2026-06-12T13:58:29.636636,
03092025,32,37,Abort,Ben,2026-06-12T13:58:34.060242,
02092025,373,397,Abort,Ben,2026-06-12T13:59:08.348780,
02092025,323,332,Abort,Ben,2026-06-12T13:59:17.996781,
02092025,78,82,Abort,Ben,2026-06-12T13:59:22.524934,
02092025,498,513,Abort,Ben,2026-06-12T13:59:31.228777,
02092025,527,531,Abort,Ben,2026-06-12T13:59:37.124827,
01092025,361,380,Abort,Ben,2026-06-12T14:00:18.564481,
01092025,308,313,Abort,Ben,2026-06-12T14:00:21.492805,
01092025,185,193,Abort,Ben,2026-06-12T14:00:24.908821,
01092025,66,70,Abort,Ben,2026-06-12T14:00:35.173115,
28082025,318,324,Abort,Ben,2026-06-12T14:00:49.532888,
28082025,333,337,Abort,Ben,2026-06-12T14:00:53.908704,
27082025,389,401,Abort,Ben,2026-06-12T14:01:00.588788,
27082025,139,150,Abort,Ben,2026-06-12T14:01:08.252588,
27082025,189,197,Abort,Ben,2026-06-12T14:01:11.980799,
27082025,40,48,Abort,Ben,2026-06-12T14:01:16.212798,
27082025,552,552,Abort,Ben,2026-06-12T14:01:23.283798,
27082025,550,553,Abort,Ben,2026-06-12T14:01:26.492791,
20082025,378,387,Abort,Ben,2026-06-12T14:01:32.508456,
19082025,288,295,Abort,Ben,2026-06-12T14:01:45.524797,
19082025,273,280,Abort,Ben,2026-06-12T14:01:50.436782,
19082025,241,251,Abort,Ben,2026-06-12T14:01:54.685057,
14082025,313,321,Abort,Ben,2026-06-12T14:02:15.708806,
12082025,364,370,Abort,Ben,2026-06-12T14:02:25.516690,
12082025,555,560,Abort,Ben,2026-06-12T14:02:32.300673,
12082025,421,426,Abort,Ben,2026-06-12T14:02:37.284802,
25072025,482,490,Abort,Ben,2026-06-12T14:02:47.821151,
25072025,467,470,Abort,Ben,2026-06-12T14:02:50.900809,
09072025,476,480,Abort,Ben,2026-06-12T14:02:56.357347,
09072025,105,114,Abort,Ben,2026-06-12T14:03:02.372807,
09072025,487,491,Abort,Ben,2026-06-12T14:03:07.180806,
09072025,405,409,Abort,Ben,2026-06-12T14:03:10.468679,
04072025,399,410,Abort,Ben,2026-06-12T14:03:18.164681,
04072025,427,430,Abort,Ben,2026-06-12T14:03:20.708926,
01072025,180,186,Abort,Ben,2026-06-12T14:03:34.612808,
