test,chi2,p,n_correct,n_error,hr_correct,hr_error,H,n_groups,rho,n,hr_early,hr_late,n_early,n_late,W,median_delta
chi2_correct_vs_error_cs1.25,16.949480497359904,3.83878231527893e-05,515.0,513.0,0.4349514563106796,0.5653021442495126,,,,,,,,,,
chi2_correct_vs_error_cs1.35,8.824109679087112,0.0029727639787613235,512.0,492.0,0.556640625,0.6504065040650406,,,,,,,,,,
chi2_correct_vs_error_cs1.5,8.697741336380826,0.0031860459342727314,547.0,559.0,0.6691042047531993,0.7513416815742398,,,,,,,,,,
chi2_correct_vs_error_cs2.0,8.020844671356668,0.004624199852439998,544.0,488.0,0.8327205882352942,0.8954918032786885,,,,,,,,,,
chi2_correct_vs_error_cs4.0,7.666033958826067,0.005627000546984992,532.0,486.0,0.9285714285714286,0.9691358024691358,,,,,,,,,,
kruskal_hitrate_vs_streak_bin,,0.24027474600224863,,,,,4.203869643500141,4.0,,,,,,,,
spearman_streak_vs_hit,,6.863758295993181e-11,,,,,,,0.09218573559795144,4989.0,,,,,,
chi2_early_vs_late_fa_hitrate,16.61465053277086,4.57958975217895e-05,,,,,,,,,0.743103448275862,0.8297029702970297,580.0,1010.0,,
spearman_prev_fa_rt_vs_hit,,7.86451687424986e-05,,,,,,,0.09885732974847196,1590.0,,,,,,
wilcoxon_delta_hr_Learning,,0.1748046875,,,,,,,,11.0,,,,,17.0,-0.03658536585365857
wilcoxon_delta_hr_Expert,,0.42626953125,,,,,,,,14.0,,,,,39.0,-0.011964143250241255
kruskal_delta_hr_by_stage,,0.5112203446881827,,,,,0.4315684315684507,,,,,,,,,
