test,rho,p,n,H,n_groups,chi2,hr_early_incl,hr_late_incl,W,median_delta,hr_correct,hr_error
spearman_streak_vs_fa_abort_rate,0.1426795602789391,2.839135911186189e-52,11257.0,,,,,,,,,
kruskal_inclusive_hr_vs_streak_bin,,0.00036242354987699925,,18.407497074549475,4.0,,,,,,,
chi2_inclusive_early_vs_late_fa,,0.02162956333725634,,,,5.275340000832078,0.26870324189526185,0.30187319884726227,,,,
spearman_prev_fa_rt_vs_inclusive_hit,0.06117663528941563,5.0911007665451655e-05,4380.0,,,,,,,,,
chi2_fa_abort_by_prev_category,,4.4719693128542197e-38,,,,172.00080932001498,,,,,,
wilcoxon_delta_incl_hr_Learning,,0.0830078125,11.0,,,,,,13.0,0.036877394636015304,,
wilcoxon_delta_incl_hr_Expert,,0.0107421875,14.0,,,,,,13.0,0.05365694298502871,,
kruskal_delta_incl_hr_by_stage,,0.7842963861668846,,0.07492507492509048,,,,,,,,
chi2_inclusive_hr_expert_streak0_vs1plus,,4.788551394127906e-08,,,,29.800553954518612,,,,,0.3806384455239417,0.31607047517351844
chi2_inclusive_hr_ctbin_Early,,0.0016876547915273183,,,,9.861586831568587,,,,,0.4051394204483324,0.3569883167459974
chi2_inclusive_hr_ctbin_Mid,,0.00012887916640895997,,,,14.658106292730366,,,,,0.3678362573099415,0.3095758635767381
chi2_inclusive_hr_ctbin_Late,,1.9964693314265333e-09,,,,35.97713178151278,,,,,0.26147588611272515,0.1816958277254374
spearman_lick_rate_vs_delta_incl_hr,0.33076923076923076,0.10630845408160393,25.0,,,,,,,,,
