test,rho,p,n,W,delta_auc,coef,sem,n_above,n_total,mean_auc,mean_gain,median_gain,chi2
p_impulsive_vs_fa_rate_spearman,0.865982905982906,1.0995166876026844e-08,26.0,,,,,,,,,,
M2_vs_M1_auc_wilcoxon,,0.03125,,15.0,0.08805534644373536,,,,,,,,
M2_coef_p_impulsive,,,,,,1.0768755703533406,0.008785005313984934,,,,,,
M2_coef_rolling_fa_rate,,,,,,0.17329137530950706,0.01424123526110343,,,,,,
M2_coef_prev_fa_1,,,,,,0.05947956864419751,0.006667172263420275,,,,,,
M2_coef_prev_fa_2,,,,,,0.057490957699763624,0.0031973080619336737,,,,,,
M2_coef_prev_fa_3,,,,,,0.10236374191346646,0.009258724563228364,,,,,,
M2_coef_change_size_log2,,,,,,1.6438634065422115,0.01771068397898899,,,,,,
neural_combined_above_chance,,,,,,,,25.0,25.0,0.7479368267170244,0.1300017836466415,,
neural_auc_vs_session_spearman,-0.29692307692307696,0.14948579410505922,,,,,,,,,,,
neural_gain_gt_zero_wilcoxon,,4.172325134277344e-07,,319.0,,,,,,,0.1300017836466415,0.14435975609756097,
fa_type_by_stage_chi2,,1.4592118376519363e-16,,,,,,,,,,,68.22423613622011
