job_id,window_idx,shank_id,run_dir,sessions,completed_time,elapsed_time
1,0,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_000\shank_0,"['BG_046_24062025', 'BG_046_25062025', 'BG_046_26062025', 'BG_046_27062025', 'BG_046_30062025']",2026-03-27 16:51:13.878788,2:30:27.872176
2,0,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_000\shank_1,"['BG_046_24062025', 'BG_046_25062025', 'BG_046_26062025', 'BG_046_27062025', 'BG_046_30062025']",2026-03-27 19:10:11.693012,4:49:22.842216
3,0,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_000\shank_2,"['BG_046_24062025', 'BG_046_25062025', 'BG_046_26062025', 'BG_046_27062025', 'BG_046_30062025']",2026-03-27 18:43:35.414438,4:21:28.273197
4,0,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_000\shank_3,"['BG_046_24062025', 'BG_046_25062025', 'BG_046_26062025', 'BG_046_27062025', 'BG_046_30062025']",2026-03-27 20:16:44.514711,5:52:28.738289
5,1,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_001\shank_0,"['BG_046_25062025', 'BG_046_26062025', 'BG_046_27062025', 'BG_046_30062025', 'BG_046_01072025']",2026-03-27 17:03:48.363141,2:38:53.312048
6,1,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_001\shank_1,"['BG_046_25062025', 'BG_046_26062025', 'BG_046_27062025', 'BG_046_30062025', 'BG_046_01072025']",2026-03-27 19:41:34.665767,5:16:38.334215
7,1,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_001\shank_2,"['BG_046_25062025', 'BG_046_26062025', 'BG_046_27062025', 'BG_046_30062025', 'BG_046_01072025']",2026-03-27 20:03:00.769337,2:43:09.104228
8,1,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_001\shank_3,"['BG_046_25062025', 'BG_046_26062025', 'BG_046_27062025', 'BG_046_30062025', 'BG_046_01072025']",2026-03-27 21:21:25.627314,2:44:26.195541
9,2,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_002\shank_0,"['BG_046_26062025', 'BG_046_27062025', 'BG_046_30062025', 'BG_046_01072025', 'BG_046_02072025']",2026-03-27 23:41:34.512897,4:56:30.997087
10,2,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_002\shank_1,"['BG_046_26062025', 'BG_046_27062025', 'BG_046_30062025', 'BG_046_01072025', 'BG_046_02072025']",2026-03-28 01:28:10.471215,6:16:39.944708
11,2,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_002\shank_2,"['BG_046_26062025', 'BG_046_27062025', 'BG_046_30062025', 'BG_046_01072025', 'BG_046_02072025']",2026-03-28 01:57:05.928823,6:15:24.973218
12,2,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_002\shank_3,"['BG_046_26062025', 'BG_046_27062025', 'BG_046_30062025', 'BG_046_01072025', 'BG_046_02072025']",2026-03-27 23:04:33.870828,3:00:17.572471
13,3,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_003\shank_0,"['BG_046_27062025', 'BG_046_30062025', 'BG_046_01072025', 'BG_046_02072025', 'BG_046_03072025']",2026-03-28 01:43:35.823000,5:25:39.363731
