job_id,window_idx,shank_id,run_dir,sessions,has_partial_output
15,3,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_003\shank_2,"['BG_046_27062025', 'BG_046_30062025', 'BG_046_01072025', 'BG_046_02072025', 'BG_046_03072025']",False
33,8,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_008\shank_0,"['BG_046_04072025', 'BG_046_08072025', 'BG_046_09072025', 'BG_046_10072025', 'BG_046_14072025']",False
38,9,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_009\shank_1,"['BG_046_08072025', 'BG_046_09072025', 'BG_046_10072025', 'BG_046_14072025', 'BG_046_21072025']",False
39,9,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_009\shank_2,"['BG_046_08072025', 'BG_046_09072025', 'BG_046_10072025', 'BG_046_14072025', 'BG_046_21072025']",False
40,9,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_009\shank_3,"['BG_046_08072025', 'BG_046_09072025', 'BG_046_10072025', 'BG_046_14072025', 'BG_046_21072025']",False
42,10,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_010\shank_1,"['BG_046_09072025', 'BG_046_10072025', 'BG_046_14072025', 'BG_046_21072025', 'BG_046_22072025']",False
43,10,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_010\shank_2,"['BG_046_09072025', 'BG_046_10072025', 'BG_046_14072025', 'BG_046_21072025', 'BG_046_22072025']",False
44,10,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_010\shank_3,"['BG_046_09072025', 'BG_046_10072025', 'BG_046_14072025', 'BG_046_21072025', 'BG_046_22072025']",False
46,11,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_011\shank_1,"['BG_046_10072025', 'BG_046_14072025', 'BG_046_21072025', 'BG_046_22072025', 'BG_046_24072025']",False
57,14,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_014\shank_0,"['BG_046_22072025', 'BG_046_24072025', 'BG_046_25072025', 'BG_046_04082025', 'BG_046_05082025']",False
62,15,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_015\shank_1,"['BG_046_24072025', 'BG_046_25072025', 'BG_046_04082025', 'BG_046_05082025', 'BG_046_12082025']",False
66,16,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_016\shank_1,"['BG_046_25072025', 'BG_046_04082025', 'BG_046_05082025', 'BG_046_12082025', 'BG_046_13082025']",False
76,18,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_018\shank_3,"['BG_046_05082025', 'BG_046_12082025', 'BG_046_13082025', 'BG_046_14082025', 'BG_046_15082025']",False
83,20,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_020\shank_2,"['BG_046_13082025', 'BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025']",False
84,20,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_020\shank_3,"['BG_046_13082025', 'BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025']",False
85,21,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_021\shank_0,"['BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025']",False
86,21,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_021\shank_1,"['BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025']",False
87,21,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_021\shank_2,"['BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025']",False
88,21,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_021\shank_3,"['BG_046_14082025', 'BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025']",False
89,22,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_022\shank_0,"['BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025']",False
90,22,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_022\shank_1,"['BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025']",False
91,22,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_022\shank_2,"['BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025']",False
92,22,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_022\shank_3,"['BG_046_15082025', 'BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025']",False
93,23,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_023\shank_0,"['BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025']",False
94,23,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_023\shank_1,"['BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025']",False
95,23,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_023\shank_2,"['BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025']",False
96,23,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_023\shank_3,"['BG_046_19082025', 'BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025']",False
97,24,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_024\shank_0,"['BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025']",False
98,24,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_024\shank_1,"['BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025']",False
99,24,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_024\shank_2,"['BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025']",False
100,24,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_024\shank_3,"['BG_046_26082025', 'BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025']",False
101,25,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_025\shank_0,"['BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025']",False
102,25,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_025\shank_1,"['BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025']",False
103,25,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_025\shank_2,"['BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025']",False
104,25,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_025\shank_3,"['BG_046_27082025', 'BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025']",False
105,26,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_026\shank_0,"['BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025', 'BG_046_03092025']",False
106,26,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_026\shank_1,"['BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025', 'BG_046_03092025']",False
107,26,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_026\shank_2,"['BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025', 'BG_046_03092025']",False
108,26,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_026\shank_3,"['BG_046_28082025', 'BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025', 'BG_046_03092025']",False
109,27,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_027\shank_0,"['BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025', 'BG_046_03092025', 'BG_046_04092025']",False
110,27,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_027\shank_1,"['BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025', 'BG_046_03092025', 'BG_046_04092025']",False
111,27,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_027\shank_2,"['BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025', 'BG_046_03092025', 'BG_046_04092025']",False
112,27,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_027\shank_3,"['BG_046_29082025', 'BG_046_01092025', 'BG_046_02092025', 'BG_046_03092025', 'BG_046_04092025']",False
